Team,Total Matches Played,Runs Scored,Wickets Lost,Got All Out,Runs Conceded,Opponent Wickets Taken,Opponent All Out,Batsman,Total Runs Scored,Home Runs,Non Home Runs,Balls Faced,R0,W0,R1,W1,Current_HR,Current_NHR,Target,Runs Made,Home,Home Run Hitting Ability,Milestone Reaching Ability,Batting Average,Strike Rate,Matches Played,ClusterID
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,AJ Strauss,4,4,0,12,22,0,27,1,12,14,0,301,0,3.93243,0.27027,33.9054,79.8028,74,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,PD Collingwood,0,0,0,0,22,0,27,1,12,14,0,301,0,2.62366,0.193548,30.5161,76.8065,93,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,ME Trescothick,35,28,7,30,22,0,27,1,12,14,0,301,0,6.625,0.375,49.5,87.4172,8,4
Ireland,55,219.527,7.65455,0.290909,202.727,7.56364,0.4,AC Botha,19,12,7,36,15,1,26,0,0,10,302,263,1,1.25,0.0833333,14.3333,53.75,12,3
Ireland,55,219.527,7.65455,0.290909,202.727,7.56364,0.4,JP Bray,22,12,10,27,15,1,26,0,0,10,302,263,1,2.7,0.1,23.4,63.0728,10,1
Ireland,55,219.527,7.65455,0.290909,202.727,7.56364,0.4,WK McCallan,0,0,0,0,15,1,26,0,0,10,302,263,1,0.692308,0,7.69231,56.8182,13,3
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,KP Pietersen,1,0,1,8,9,1,7,2,12,10,0,166,1,3.69892,0.236559,33.4946,82.2117,93,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,PD Collingwood,0,0,0,7,9,1,7,2,12,10,0,166,1,2.62366,0.193548,30.5161,76.8065,93,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,Mohammad Yousuf,0,0,0,8,16,1,10,1,8,2,167,169,0,3.27586,0.275862,36.7931,73.9176,58,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,Younis Khan,15,12,3,27,16,1,10,1,8,2,167,169,0,2.64655,0.215517,28.5,73.2713,116,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,IR Bell,15,4,11,28,27,1,25,0,8,18,0,271,1,3.63433,0.246269,35.3806,75.6623,134,4
