Team,Total Matches Played,Runs Scored,Wickets Lost,Got All Out,Runs Conceded,Opponent Wickets Taken,Opponent All Out,Batsman,Player Total Runs,Player Home Runs,Player Non Home Runs,Balls Faced,R0,W0,R1,W1,Current_HR,Current_NHR,Total Runs in Segment,Total HR till Segment,Total NHR till Segment,Total Runs Till Segment,Target,Final Runs Made,Extras,Home,Segment,Home Run Hitting Ability,Milestone Reaching Ability,Batting Average,Strike Rate,Matches Played,ClusterID
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,IR Bell,40,4,36,68,143,3,20,0,8,20,28,72,119,191,0,301,26,0,8,3.63433,0.246269,35.3806,75.6623,134,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,ME Trescothick,99,44,55,106,143,3,20,0,8,20,28,72,119,191,0,301,26,0,8,6.625,0.375,49.5,87.4172,8,4
Ireland,55,219.527,7.65455,0.290909,202.727,7.56364,0.4,KJ O'Brien,10,0,10,20,110,6,24,0,8,13,21,64,91,155,302,263,30,1,8,2.64706,0.0588235,22.3824,79.4363,34,4
Ireland,55,219.527,7.65455,0.290909,202.727,7.56364,0.4,AR White,21,12,9,26,110,6,24,0,8,13,21,64,91,155,302,263,30,1,8,1.17647,0,14.1765,59.9502,17,1
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,R Clarke,31,8,23,38,104,6,24,0,14,11,25,62,91,153,0,166,13,1,8,1.5,0,19.5,81.25,2,1
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,CMW Read,17,4,13,22,104,6,24,0,14,11,25,62,91,153,0,166,13,1,8,1,0,10,80,6,1
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,J Lewis,0,0,0,0,104,6,24,0,14,11,25,62,91,153,0,166,13,1,8,0.571429,0,6,85.7143,7,1
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,SCJ Broad,0,0,0,0,104,6,24,0,14,11,25,62,91,153,0,166,13,1,8,0.725806,0,8.04839,74.0356,62,1
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,Mohammad Yousuf,44,8,36,73,108,3,43,0,4,2,6,68,89,157,167,169,12,0,8,3.27586,0.275862,36.7931,73.9176,58,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,Inzamam-ul-Haq,41,20,21,25,108,3,43,0,4,2,6,68,89,157,167,169,12,0,8,3.16667,0,26.9167,70.989,12,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,PD Collingwood,30,16,14,33,144,4,18,0,8,22,30,84,108,192,0,271,3,1,8,2.62366,0.193548,30.5161,76.8065,93,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,JWM Dalrymple,20,4,16,43,144,4,18,0,8,22,30,84,108,192,0,271,3,1,8,1.41667,0.0833333,19,73.7864,24,1
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,Younis Khan,94,54,40,103,140,2,32,0,18,10,28,106,94,200,272,274,15,0,8,2.64655,0.215517,28.5,73.2713,116,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,Mohammad Yousuf,57,20,37,94,140,2,32,0,18,10,28,106,94,200,272,274,15,0,8,3.27586,0.275862,36.7931,73.9176,58,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,Inzamam-ul-Haq,0,0,0,0,140,2,32,0,18,10,28,106,94,200,272,274,15,0,8,3.16667,0,26.9167,70.989,12,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,Shahid Afridi,0,0,0,0,140,2,32,0,18,10,28,106,94,200,272,274,15,0,8,2.72917,0.0972222,21.4097,127.766,144,0
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,Kamran Akmal,4,0,4,11,106,5,13,1,4,12,16,54,81,135,0,235,9,0,8,3.01124,0.11236,23.0787,81.4433,89,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,Abdul Razzaq,8,0,8,20,106,5,13,1,4,12,16,54,81,135,0,235,9,0,8,2.225,0.075,20.475,82.0641,40,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,Shoaib Akhtar,0,0,0,0,106,5,13,1,4,12,16,54,81,135,0,235,9,0,8,0.421053,0,3.21053,67.033,19,1
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,IR Bell,64,32,32,84,142,2,17,0,16,10,26,96,89,185,236,237,10,1,8,3.63433,0.246269,35.3806,75.6623,134,4
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,KP Pietersen,4,0,4,8,142,2,17,0,16,10,26,96,89,185,236,237,10,1,8,3.69892,0.236559,33.4946,82.2117,93,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,Younis Khan,26,8,18,57,71,6,16,1,4,11,15,30,72,102,0,154,22,0,8,2.64655,0.215517,28.5,73.2713,116,4
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,Naved-ul-Hasan,4,0,4,10,71,6,16,1,4,11,15,30,72,102,0,154,22,0,8,1.15,0,11.35,83.4559,20,1
Pakistan,211,222.621,7.38389,0.393365,235.517,7.54976,0.336493,Iftikhar Anjum,0,0,0,0,71,6,16,1,4,11,15,30,72,102,0,154,22,0,8,0.666667,0,7.33333,58.7786,21,3
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,RP Arnold,2,0,2,6,133,3,23,1,4,14,18,74,100,174,0,257,33,0,8,1.14286,0.142857,16.4286,73.2484,14,1
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,WU Tharanga,91,48,43,122,133,3,23,1,4,14,18,74,100,174,0,257,33,0,8,3.93985,0.263158,32.9699,71.6035,133,4
Sri Lanka,244,223.373,7.09016,0.344262,227.578,7.47541,0.385246,CK Kapugedera,0,0,0,0,133,3,23,1,4,14,18,74,100,174,0,257,33,0,8,1.74138,0.12069,21.1379,68.6066,58,1
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,GO Jones,5,0,5,6,123,4,15,1,4,26,30,58,110,168,258,237,8,1,8,1.5,0,15.5,110.714,6,0
England,221,237.176,7.17647,0.289593,230.633,7.45701,0.384615,JWM Dalrymple,37,12,25,60,123,4,15,1,4,26,30,58,110,168,258,237,8,1,8,1.41667,0.0833333,19,73.7864,24,1
