Batsman,Home Run Hitting Ability,Milestone Reaching Ability,Matches Played
JA Morkel,2.27777777778,0.0555555555556,36
IG Butler,1.14285714286,0,7
T Thushara,1.72727272727,0.0454545454545,22
V Sehwag,6.15957446809,0.255319148936,94
KA Edwards,1.875,0.0625,16
SC Williams,2.59154929577,0.267605633803,71
DE Bernard,1.0,0,10
Anshuman Rath,4.0,0,1
WK McCallan,0.692307692308,0,13
LE Plunkett,1.38095238095,0,21
S Mukuddem,1.5,0.25,4
RK Whelan,0.5,0,2
Nasir Aziz,5.5,0.5,2
Shaiman Anwar,5.36363636364,0.363636363636,11
SD Outerbridge,0.777777777778,0,9
MJ Guptill,4.82352941176,0.310924369748,119
Najibullah Zadran,2.38888888889,0.111111111111,18
GB Hogg,1.14285714286,0,14
CT Tremlett,0.4,0,10
JW Hastings,1.76923076923,0,13
PA Hitchcock,1.0,0,1
WD Balaji Rao,0.4,0,5
CK Kapugedera,1.71666666667,0.116666666667,60
RR Watson,3.2,0.2,10
N Deonarine,2.09090909091,0.136363636364,22
CR Brathwaite,1.14285714286,0,7
MC Sorensen,2.0,0,7
ML Udawatte,2.85714285714,0.142857142857,7
NW Bracken,0.391304347826,0,23
DLS van Bunge,2.28571428571,0.142857142857,7
SR Patel,2.22727272727,0.0454545454545,22
M Kartik,1.66666666667,0,3
Rubel Hossain,0.37037037037,0,27
Ziaur Rahman,1.72727272727,0,11
CK Coventry,3.15789473684,0.157894736842,19
PC de Silva,1.5,0,6
D Mongia,2.5,0.166666666667,6
D Ganga,1.0,0,2
TT Samaraweera,2.22222222222,0.0740740740741,27
AM Guruge,0.5,0,2
MJ Santner,3.0,0,11
Mohammad Shahzad (2),3.66666666667,0.333333333333,3
CR Ervine,3.39473684211,0.236842105263,38
XM Marshall,1.5,0,8
IR Bell,3.60714285714,0.257142857143,140
RV Uthappa,3.02702702703,0.135135135135,37
Javed Ahmadi,2.93333333333,0.2,15
Tabarak Dar,2.5,0,2
KW Richardson,1.0,0,4
RL Bhudia,2.0,0,1
Umar Gul,0.766666666667,0,60
HDRL Thirimanne,2.67857142857,0.238095238095,84
MBS Jonkman,0.666666666667,0,3
D Elgar,1.0,0,5
Abdur Rehman,0.5,0,22
H Masakadza,3.37391304348,0.208695652174,115
KO Meth,0.8,0,5
MS Wade,1.90384615385,0.134615384615,52
AM Samad,2.44444444444,0,9
LOB Cann,3.3,0.1,10
B Lee,1.09090909091,0.0227272727273,44
JR Hazlewood,0.5,0,2
DF Watts,2.44444444444,0.333333333333,9
R Mutumbami,2.375,0.0833333333333,24
PP Ojha,0.333333333333,0,9
TWM Latham,2.76470588235,0.147058823529,34
Saqlain Haider,1.0,0,1
Nawroz Mangal,1.78260869565,0.0869565217391,23
JH Kallis,3.71111111111,0.366666666667,90
Babar Hayat,3.0,0,2
MM Patel,0.363636363636,0,22
DE Bollinger,0.714285714286,0,7
LRPL Taylor,3.74285714286,0.307142857143,140
CH Gayle,4.62393162393,0.213675213675,117
DR Lockhart,2.0,0,1
Zeeshan Siddiqi,1.0,0,1
NM Hauritz,1.04,0.04,25
D Daesrath,4.0,0,1
Haseeb Amjad,3.0,0,1
Shafiqullah,1.375,0.125,8
MDKJ Perera,3.35416666667,0.1875,48
Khurram Chohan,0.777777777778,0,9
AF Buurman,2.0,0,2
SJ Benn,0.761904761905,0,21
IJL Trott,3.39682539683,0.412698412698,63
BAW Mendis,0.461538461538,0,39
PD McGlashan,3.5,0.5,2
IK Pathan,1.875,0.025,40
CJ Anderson,3.74285714286,0.142857142857,35
Khaled Mashud,0.5,0,4
Hammad Azam,1.4,0,5
DPMD Jayawardene,3.37313432836,0.26368159204,201
AS Hansra,1.85714285714,0.142857142857,14
Najeeb Amar,2.5,0,2
PG Fulton,2.81818181818,0.181818181818,33
ST Finn,0.56,0,25
JAR Blain,1.0,0,7
JH Davey,1.66666666667,0.0666666666667,15
SL Malinga,0.609756097561,0.0121951219512,82
PC Connell,1.0,0,1
LM Jongwe,1.27777777778,0,18
RR Emrit,0.5,0,2
KOA Powell,3.59259259259,0.222222222222,27
Abdur Razzak,0.853333333333,0.0133333333333,75
Mahmudullah,2.26732673267,0.158415841584,101
DJG Sammy,2.23762376238,0.0891089108911,101
JR Hopes,2.09259259259,0.0555555555556,54
T Maruma,0.642857142857,0,14
HF Gurney,0.166666666667,0,6
E Chigumbura,2.23846153846,0.1,130
KP Pietersen,3.70833333333,0.239583333333,96
DO Obuya,1.0625,0.0625,16
Yasir Arafat,2.66666666667,0,3
Rashid Khan,1.4,0,5
DL Vettori,1.43835616438,0.027397260274,73
Shahzaib Hasan,5.0,0.333333333333,3
Samiullah Shenwari,3.16666666667,0.233333333333,30
GW Flower,1.0,0,2
Shapoor Zadran,0.153846153846,0,13
Syed Rasel,0.222222222222,0,18
Asif Iqbal (1),2.0,0,1
Ahmed Shehzad,3.71621621622,0.256756756757,74
MT Chinouya,0.5,0,2
JDS Neesham,1.75,0,16
CAK Walton,0.25,0,4
RA Jadeja,2.12941176471,0.117647058824,85
Sami Faridi,1.0,0,1
Rajin Saleh,2.0,0,4
BMAJ Mendis,1.39473684211,0.0263157894737,38
SMA Priyanjan,2.5,0.1,20
JP Duminy,2.38888888889,0.190476190476,126
LJ Woodcock,0.5,0,2
NO Miller,1.04,0.04,25
RJ Trott,1.75,0,4
DJ Hussey,2.5,0.241379310345,58
MG Johnson,1.18072289157,0.0240963855422,83
MWA van Nierop,1.0,0,1
Zulqarnain Haider,0.75,0,4
SM Pollock,2.34375,0.125,32
PD Collingwood,2.65625,0.197916666667,96
CH Morris,1.83333333333,0.166666666667,6
Asad Shafiq,2.09433962264,0.169811320755,53
Bazid Khan,1.5,0.5,2
PJ Forrest,2.71428571429,0.285714285714,14
Mirwais Ashraf,0.888888888889,0,18
Liton Das,1.0,0,6
AJ Hall,1.4,0.1,10
Sikandar Raza,3.16326530612,0.142857142857,49
RJ Sidebottom,0.6875,0,16
AC Gilchrist,4.52380952381,0.285714285714,42
M Morkel,0.702702702703,0,37
ST Jayasuriya,4.78666666667,0.2,75
CJ Chibhabha,2.48648648649,0.162162162162,74
Tamim Iqbal,4.00735294118,0.272058823529,136
MJ Lumb,5.0,0.333333333333,3
JM How,3.34615384615,0.192307692308,26
Gulbodin Naib,1.75,0,4
