Batsman,Total Runs Scored,Home Run Hitting Ability,Home Runs,Non Home Runs,Number of Milestones Reached,Average Balls Faced,Team
JA Morkel,659,80.0,362,297,2.0,20.0606060606,South Africa
HH Gibbs,1856,240.0,1028,828,16.0,42.7884615385,South Africa
T Thushara,347,37.0,162,185,1.0,17.5714285714,Sri Lanka
V Sehwag,3417,518.0,2200,1217,21.0,35.7386363636,India
KA Edwards,331,30.0,134,197,1.0,31.875,West Indies
SC Williams,1855,167.0,708,1147,18.0,35.3230769231,Zimbabwe
DE Bernard,134,10.0,40,94,0,21.1,West Indies
WK McCallan,101,9.0,36,65,0,13.5384615385,Ireland
LE Plunkett,278,29.0,136,142,0,11.5714285714,England
RK Whelan,5,1.0,4,1,0,6.0,Ireland
MJ Guptill,4384,553.0,2416,1968,36.0,46.0695652174,New Zealand
GB Hogg,178,10.0,42,136,0,19.6923076923,Australia
CT Tremlett,42,4.0,20,22,0,7.3,England
JW Hastings,180,23.0,100,80,0,14.5384615385,Australia
PA Hitchcock,11,1.0,6,5,0,11.0,New Zealand
CK Kapugedera,1226,101.0,450,776,7.0,30.8103448276,Sri Lanka
N Deonarine,461,46.0,194,267,3.0,31.8636363636,West Indies
CR Brathwaite,71,8.0,38,33,0,12.4285714286,West Indies
MC Sorensen,64,8.0,38,26,0,18.75,Ireland
ML Udawatte,103,14.0,58,45,0,27.6666666667,Sri Lanka
NW Bracken,113,9.0,38,75,0,7.86956521739,Australia
Rajin Saleh,43,7.0,28,15,0,40.5,Bangladesh
SR Patel,482,49.0,220,262,1.0,24.1818181818,England
M Kartik,37,5.0,22,15,0,16.3333333333,India
Rubel Hossain,68,8.0,34,34,0,5.12,Bangladesh
Ziaur Rahman,83,12.0,54,29,0,9.1,Bangladesh
CK Coventry,529,60.0,282,247,3.0,32.5555555556,Zimbabwe
TA Boult,58,8.0,38,20,0,6.81818181818,New Zealand
D Mongia,157,15.0,60,97,1.0,43.5,India
D Ganga,41,2.0,8,33,0,52.5,West Indies
MJ Santner,294,33.0,152,142,0,26.1818181818,New Zealand
CT Mutombodzi,32,2.0,8,24,0,14.6666666667,Zimbabwe
CR Ervine,916,92.0,394,522,6.0,41.2666666667,Zimbabwe
XM Marshall,85,12.0,48,37,0,18.0,West Indies
IR Bell,4741,487.0,2002,2739,33.0,46.7611940299,England
RV Uthappa,753,102.0,440,313,4.0,24.8823529412,India
J Nyumbu,45,2.0,10,35,0,6.92307692308,Zimbabwe
KW Richardson,30,4.0,20,10,0,4.75,Australia
