Batsman,Total Runs Scored,Home Runs,Milestones Reached, avg Balls Faced
JA Morkel,4,1.0,0,14.0
T Thushara,15,3.0,0,14.0
V Sehwag,539,81.0,0,11.0
KA Edwards,30,1.0,0,9.0
SC Williams,162,14.0,0,9.0
Shaiman Anwar,29,4.0,0,13.0
SD Outerbridge,17,2.0,0,22.0
MJ Guptill,605,61.0,0,13.0
Usman Limbada,10,2.0,0,15.0
CK Kapugedera,51,6.0,0,8.0
RR Watson,59,11.0,0,13.0
N Deonarine,67,8.0,0,12.0
ML Udawatte,49,8.0,0,15.0
DLS van Bunge,27,3.0,0,19.0
DE Bernard,13,1.0,0,10.0
MJ Lumb,19,3.0,0,13.0
CK Coventry,84,11.0,0,13.0
D Mongia,11,2.0,0,16.0
Mohammad Shahzad (2),11,2.0,0,19.0
CR Ervine,111,9.0,0,12.0
XM Marshall,13,1.0,0,10.0
IR Bell,810,88.0,0,12.0
A Symonds,66,8.0,0,11.0
Javed Ahmadi,45,6.0,0,13.0
Umar Gul,17,3.0,0,11.0
HDRL Thirimanne,302,25.0,0,12.0
SW Billings,24,3.0,0,15.0
H Masakadza,494,51.0,0,11.0
AM Samad,35,4.0,0,16.0
LOB Cann,7,1.0,0,8.0
DF Watts,51,9.0,0,13.0
R Mutumbami,50,7.0,0,10.0
Nawroz Mangal,94,9.0,0,10.0
JH Kallis,651,83.0,0,14.0
LRPL Taylor,562,68.0,0,11.0
CH Gayle,502,77.0,0,12.0
MDKJ Perera,148,16.0,0,13.0
IJL Trott,332,27.0,0,12.0
CJ Anderson,134,20.0,1.0,14.0
DPMD Jayawardene,780,83.0,0,11.0
AS Hansra,52,6.0,0,12.0
PG Fulton,109,14.0,0,9.0
JH Davey,28,3.0,0,9.0
LM Jongwe,6,1.0,0,16.0
KOA Powell,101,11.0,0,11.0
Mahmudullah,182,23.0,0,11.0
DJG Sammy,30,3.0,0,8.0
JR Hopes,25,3.0,0,11.0
E Chigumbura,136,23.0,0,9.0
KP Pietersen,527,68.0,0,11.0
DO Obuya,19,1.0,0,12.0
CJ Ferguson,19,1.0,0,16.0
Samiullah Shenwari,57,6.0,0,10.0
RA Jadeja,25,1.0,0,10.0
Rajin Saleh,20,2.0,0,14.0
SMA Priyanjan,27,3.0,0,12.0
JP Duminy,161,16.0,0,10.0
NO Miller,0,1.0,0,2.0
DJ Hussey,46,4.0,0,7.0
MG Johnson,13,1.0,0,12.0
SM Pollock,41,8.0,0,20.0
PD Collingwood,155,16.0,0,11.0
Asad Shafiq,158,12.0,0,10.0
PJ Forrest,59,7.0,0,14.0
Sikandar Raza,74,8.0,0,8.0
IK Pathan,14,2.0,0,6.0
AC Gilchrist,244,37.0,0,12.0
ST Jayasuriya,430,66.0,0,13.0
CJ Chibhabha,248,27.0,0,13.0
Tamim Iqbal,663,73.0,0,12.0
JM How,96,12.0,0,10.0
DR Martyn,64,11.0,0,13.0
Sohaib Maqsood,52,7.0,0,13.0
DT Johnston,16,2.0,0,9.0
LE Bosman,59,8.0,0,11.0
JWA Taylor,112,8.0,0,13.0
Karim Sadiq,31,2.0,0,15.0
LMP Simmons,234,25.0,0,11.0
A Codrington,5,1.0,0,7.0
Mohammad Iqbal,12,3.0,0,21.0
EC Joyce,203,24.0,0,12.0
Mushfiqur Rahim,276,27.0,0,11.0
Mohammad Ashraful,379,53.0,0,11.0
AR Cusack,38,4.0,0,12.0
Farhad Reza,8,1.0,0,7.0
NR Kumar,35,3.0,0,12.0
TD Paine,130,15.0,0,13.0
PJ Moor,42,2.0,0,17.0
IS Billcliff,11,1.0,0,11.0
KA Pollard,89,12.0,0,8.0
SM Davies,40,5.0,0,12.0
CT Mutombodzi,6,1.0,0,7.0
SR Watson,821,105.0,0,12.0
KM Dabengwa,15,1.0,0,11.0
Arshad Ali,7,1.0,0,17.0
GC Smith,702,87.0,0,13.0
MK Tiwary,41,5.0,0,12.0
Bilal Asif,12,3.0,0,6.0
Inzamam-ul-Haq,25,3.0,0,12.0
MEK Hussey,165,16.0,0,11.0
L Vincent,84,15.0,0,14.0
Asghar Stanikzai,62,4.0,0,8.0
Khurram Manzoor,27,3.0,0,14.0
DJ Bravo,175,25.0,0,10.0
Shamsur Rahman,72,9.0,0,16.0
BJ Hodge,14,4.0,0,7.0
HM Amla,775,61.0,0,13.0
AA Mulla,18,4.0,0,7.0
GJ Bailey,150,13.0,0,11.0
PJ Ingram,44,9.0,0,11.0
JP Bray,30,3.0,0,12.0
R Dravid,162,18.0,0,12.0
PL Mommsen,69,9.0,0,11.0
RR Rossouw,120,9.0,0,14.0
SHT Kandamby,32,3.0,0,10.0
SB Styris,179,22.0,0,11.0
AR Pitcher,11,2.0,0,15.0
TLW Cooper,36,5.0,0,10.0
Raqibul Hasan,169,17.0,0,10.0
AJ Redmond,40,5.0,0,11.0
JM Kemp,11,1.0,0,5.0
Skhawat Ali,6,1.0,0,9.0
WTS Porterfield,229,24.0,0,14.0
Yuvraj Singh,418,63.0,0,11.0
Mohammad Nabi,43,4.0,0,9.0
DS Smith,161,16.0,0,12.0
MS Dhoni,230,27.0,0,10.0
TM Dilshan,965,92.0,0,13.0
AJ Strauss,425,46.0,0,11.0
AO Suji,17,3.0,0,14.0
