Batsman,Total Runs Scored,Home Runs,Non Home Runs,Balls Faced,R0,W0,R1,W1,Current_HR,Current_NHR,Target,Team,Home
ME Trescothick,0,0,0,0,0,0,0,0,16,16,0,England,0
EC Joyce,0,0,0,0,0,0,0,0,6,6,0,England,0
DI Joyce,0,0,0,0,0,0,0,0,0,0,232,Ireland,1
AC Botha,0,0,0,0,0,0,0,0,7,7,232,Ireland,1
JP Bray,0,0,0,0,0,0,0,0,8,8,232,Ireland,1
ME Trescothick,0,0,0,0,0,0,0,0,2,2,0,England,1
AJ Strauss,0,0,0,0,0,0,0,0,0,0,0,England,1
IR Bell,0,0,0,0,0,0,0,0,7,7,0,England,1
Shoaib Malik,0,0,0,0,0,0,0,0,9,9,158,Pakistan,0
Mohammad Hafeez,0,0,0,0,0,0,0,0,1,1,158,Pakistan,0
Younis Khan,0,0,0,0,0,0,0,0,6,6,158,Pakistan,0
ME Trescothick,0,0,0,0,0,0,0,0,0,0,0,England,1
IR Bell,0,0,0,0,0,0,0,0,10,10,0,England,1
AJ Strauss,0,0,0,0,0,0,0,0,17,17,0,England,1
Shoaib Malik,0,0,0,0,0,0,0,0,1,1,252,Pakistan,0
Mohammad Hafeez,0,0,0,0,0,0,0,0,20,20,252,Pakistan,0
Younis Khan,0,0,0,0,0,0,0,0,2,2,252,Pakistan,0
Mohammad Hafeez,0,0,0,0,0,0,0,0,8,8,0,Pakistan,0
Shahid Afridi,0,0,0,0,0,0,0,0,11,11,0,Pakistan,0
Younis Khan,0,0,0,0,0,0,0,0,0,0,0,Pakistan,0
Mohammad Yousuf,0,0,0,0,0,0,0,0,2,2,0,Pakistan,0
AJ Strauss,0,0,0,0,0,0,0,0,9,9,219,England,1
EC Joyce,0,0,0,0,0,0,0,0,9,9,219,England,1
Mohammad Hafeez,0,0,0,0,0,0,0,0,1,1,0,Pakistan,0
Imran Farhat,0,0,0,0,0,0,0,0,4,4,0,Pakistan,0
AJ Strauss,0,0,0,0,0,0,0,0,18,18,140,England,1
EC Joyce,0,0,0,0,0,0,0,0,8,8,140,England,1
IR Bell,0,0,0,0,0,0,0,0,1,1,140,England,1
WU Tharanga,0,0,0,0,0,0,0,0,2,2,0,Sri Lanka,0
ST Jayasuriya,0,0,0,0,0,0,0,0,11,11,0,Sri Lanka,0
ME Trescothick,0,0,0,0,0,0,0,0,10,10,226,England,1
AJ Strauss,0,0,0,0,0,0,0,0,5,5,226,England,1
WU Tharanga,0,0,0,0,0,0,0,0,12,12,0,Sri Lanka,0
ST Jayasuriya,0,0,0,0,0,0,0,0,6,6,0,Sri Lanka,0
ME Trescothick,0,0,0,0,0,0,0,0,9,9,262,England,1
IR Bell,0,0,0,0,0,0,0,0,6,6,262,England,1
AJ Strauss,0,0,0,0,0,0,0,0,7,7,262,England,1
ME Trescothick,0,0,0,0,0,0,0,0,6,6,0,England,1
AJ Strauss,0,0,0,0,0,0,0,0,11,11,0,England,1
WU Tharanga,0,0,0,0,0,0,0,0,14,14,249,Sri Lanka,0
ST Jayasuriya,0,0,0,0,0,0,0,0,23,23,249,Sri Lanka,0
WU Tharanga,0,0,0,0,0,0,0,0,3,3,0,Sri Lanka,0
ST Jayasuriya,0,0,0,0,0,0,0,0,14,14,0,Sri Lanka,0
DPMD Jayawardene,0,0,0,0,0,0,0,0,2,2,0,Sri Lanka,0
ME Trescothick,0,0,0,0,0,0,0,0,11,11,276,England,1
AN Cook,0,0,0,0,0,0,0,0,12,12,276,England,1
ME Trescothick,0,0,0,0,0,0,0,0,4,4,0,England,1
AN Cook,0,0,0,0,0,0,0,0,2,2,0,England,1
WU Tharanga,0,0,0,0,0,0,0,0,22,22,297,Sri Lanka,0
ST Jayasuriya,0,0,0,0,0,0,0,0,30,30,297,Sri Lanka,0
V Sehwag,0,0,0,0,0,0,0,0,11,11,0,India,0
R Dravid,0,0,0,0,0,0,0,0,0,0,0,India,0
