Batsman,Total Runs Scored,Home Runs,Non Home Runs,Balls Faced,R0,W0,R1,W1,Current_HR,Current_NHR,Target,Runs Made,Team,Home
ME Trescothick,16.0,12.0,4.0,16,0.0,0,22.0,0,24,3,0,301,England,0
EC Joyce,6.0,4.0,2.0,17,0.0,0,22.0,0,24,3,0,301,England,0
AJ Strauss,0.0,0.0,0.0,0,0.0,0,22.0,0,24,3,0,301,England,0
AC Botha,7.0,4.0,3.0,18,0.0,0,15.0,1,16,10,302,263,Ireland,1
JP Bray,8.0,4.0,4.0,14,0.0,0,15.0,1,16,10,302,263,Ireland,1
IR Bell,7.0,4.0,3.0,12,0.0,0,9.0,1,4,3,0,166,England,1
ME Trescothick,2.0,0.0,2.0,17,0.0,0,9.0,1,4,3,0,166,England,1
KP Pietersen,0.0,0.0,0.0,0,0.0,0,9.0,1,4,3,0,166,England,1
PD Collingwood,0.0,0.0,0.0,0,0.0,0,9.0,1,4,3,0,166,England,1
Shoaib Malik,9.0,0.0,9.0,17,0.0,0,16.0,1,8,2,167,169,Pakistan,0
Younis Khan,6.0,4.0,2.0,11,0.0,0,16.0,1,8,2,167,169,Pakistan,0
Mohammad Yousuf,0.0,0.0,0.0,0,0.0,0,16.0,1,8,2,167,169,Pakistan,0
IR Bell,10.0,4.0,6.0,17,0.0,0,27.0,1,16,9,0,271,England,1
AJ Strauss,17.0,8.0,9.0,14,0.0,0,27.0,1,16,9,0,271,England,1
Younis Khan,2.0,0.0,2.0,8,0.0,0,23.0,1,16,3,272,274,Pakistan,0
Mohammad Yousuf,0.0,0.0,0.0,0,0.0,0,23.0,1,16,3,272,274,Pakistan,0
Shahid Afridi,11.0,10.0,1.0,11,0.0,0,21.0,2,4,11,0,235,Pakistan,0
Mohammad Yousuf,2.0,0.0,2.0,6,0.0,0,21.0,2,4,11,0,235,Pakistan,0
EC Joyce,9.0,8.0,1.0,16,0.0,0,18.0,0,8,12,236,237,England,1
AJ Strauss,9.0,8.0,1.0,14,0.0,0,18.0,0,8,12,236,237,England,1
IR Bell,0.0,0.0,0.0,0,0.0,0,18.0,0,8,12,236,237,England,1
Imran Farhat,4.0,0.0,4.0,15,0.0,0,5.0,0,8,5,0,154,Pakistan,0
Mohammad Hafeez,1.0,0.0,1.0,19,0.0,0,5.0,0,8,5,0,154,Pakistan,0
AJ Strauss,18.0,16.0,2.0,24,0.0,0,27.0,1,16,4,155,155,England,1
IR Bell,1.0,0.0,1.0,3,0.0,0,27.0,1,16,4,155,155,England,1
PD Collingwood,0.0,0.0,0.0,0,0.0,0,27.0,1,16,4,155,155,England,1
KP Pietersen,0.0,0.0,0.0,0,0.0,0,27.0,1,16,4,155,155,England,1
WU Tharanga,2.0,0.0,2.0,9,0.0,0,13.0,1,8,11,0,257,Sri Lanka,0
