Batsman,Total Runs Scored,Number of Home Runs,Number of Milestones Reached,Average Balls Faced,Team
Salman Butt,106,8.0,0,13.875,Pakistan
NLTC Perera,48,3.0,0,8.8,Sri Lanka
JA Morkel,45,3.0,0,9.75,South Africa
IG Butler,4,1.0,0,15.0,New Zealand
T Thushara,16,2.0,0,10.5,Sri Lanka
V Sehwag,208,25.0,0,12.5333333333,India
KA Edwards,22,1.0,0,13.0,West Indies
SC Williams,278,24.0,0,9.90909090909,Zimbabwe
SI Mahmood,16,3.0,0,18.0,England
Inzamam-ul-Haq,43,2.0,0,10.5,Pakistan
TA Boult,4,1.0,0,6.0,New Zealand
RT Ponting,507,40.0,0,12.7608695652,Australia
MEK Hussey,510,30.0,0,11.9830508475,Australia
MM Ali,36,3.0,0,11.3333333333,England
JDP Oram,188,20.0,0,13.0588235294,New Zealand
AR Patel,16,1.0,0,13.5,India
Mohammad Sami,6,1.0,0,15.0,Pakistan
MJ Guptill,227,16.0,0,13.4782608696,New Zealand
MH Yardy,35,1.0,0,10.625,England
MJ Clarke,750,65.0,0,13.768115942,Australia
Mahmudullah,215,14.0,0,10.1351351351,Bangladesh
Khurram Manzoor,21,1.0,0,16.0,Pakistan
Mohammad Rafique,6,1.0,0,4.5,Bangladesh
S Chanderpaul,299,21.0,0,13.4242424242,West Indies
DJ Bravo,319,28.0,0,11.8,West Indies
R Ashwin,40,2.0,0,8.4,India
MJ Santner,31,3.0,0,13.0,New Zealand
SP Narine,20,3.0,0,9.2,West Indies
CK Kapugedera,200,9.0,0,12.125,Sri Lanka
N Deonarine,38,1.0,0,13.0,West Indies
J Botha,21,3.0,0,8.0,South Africa
FL Reifer,27,3.0,0,14.3333333333,West Indies
BJ Hodge,43,5.0,0,14.0,Australia
J Mubarak,54,5.0,0,10.5,Sri Lanka
TAM Siriwardana,46,4.0,0,14.6666666667,Sri Lanka
NW Bracken,11,1.0,0,8.0,Australia
EJG Morgan,640,68.0,0,12.1147540984,Ireland
HM Amla,437,21.0,0,13.7368421053,South Africa
JL Carter,20,1.0,0,8.0,West Indies
GH Dockrell,1,1.0,0,1.0,Ireland
DE Bernard,15,1.0,0,8.75,West Indies
SPD Smith,237,15.0,0,12.5217391304,Australia
KC Sangakkara,1133,101.0,0,13.1313131313,Sri Lanka
Rubel Hossain,22,5.0,0,9.0,Bangladesh
Sarfraz Ahmed,111,9.0,0,11.4,Pakistan
MJ Lumb,25,3.0,0,23.0,England
Raqibul Hasan,133,8.0,0,10.3333333333,Bangladesh
HF Gurney,4,1.0,0,4.0,England
AT Rayudu,133,11.0,0,11.4166666667,India
SR Tendulkar,285,29.0,0,12.4230769231,India
D Mongia,33,4.0,0,13.3333333333,India
WPUJC Vaas,18,3.0,0,7.5,Sri Lanka
BCJ Cutting,8,1.0,0,13.0,Australia
IJL Trott,324,22.0,0,12.8709677419,England
JP Faulkner,32,4.0,0,15.3333333333,Australia
CD Collymore,8,1.0,0,8.0,West Indies
R Dravid,116,3.0,0,12.4,India
MR Marsh,116,14.0,0,10.9230769231,Australia
CR Ervine,126,12.0,0,12.0769230769,Zimbabwe
IR Bell,433,32.0,0,11.8043478261,England
A Symonds,151,15.0,0,14.2142857143,Australia
RS Bopara,275,19.0,0,10.875,England
L Vincent,46,3.0,0,11.5,New Zealand
HDRL Thirimanne,306,21.0,0,11.4444444444,Sri Lanka
MN Waller,159,17.0,0,13.2777777778,Zimbabwe
R Rampaul,25,4.0,0,11.5,West Indies
SHT Kandamby,101,6.0,0,13.0,Sri Lanka
SB Styris,277,19.0,0,12.4285714286,New Zealand
Saeed Ajmal,7,1.0,0,10.0,Pakistan
Umar Gul,14,1.0,0,8.8,Pakistan
Younis Khan,413,33.0,0,10.6153846154,Pakistan
KD Karthik,91,7.0,0,9.91666666667,India
Imran Farhat,39,1.0,0,12.0,Pakistan
D Elgar,22,1.0,0,11.6666666667,South Africa
Alok Kapali,29,2.0,0,8.6,Bangladesh
H Masakadza,230,21.0,0,13.5238095238,Zimbabwe
Fawad Alam,129,9.0,0,11.9375,Pakistan
AG Prince,46,4.0,0,16.0,South Africa
PA Browne,9,1.0,0,14.0,West Indies
GS Ballance,50,5.0,0,12.25,England
JM Kemp,78,7.0,0,12.7,South Africa
CR Woakes,60,4.0,0,9.14285714286,England
RW Chakabva,43,3.0,0,11.8571428571,Zimbabwe
Yuvraj Singh,645,77.0,0,13.224137931,India
RT Crandon,5,1.0,0,7.0,West Indies
Azhar Ali,108,9.0,0,12.0833333333,Pakistan
Tushar Imran,10,2.0,0,8.0,Bangladesh
JD Ryder,40,4.0,0,13.25,New Zealand
WU Tharanga,270,17.0,0,13.8571428571,Sri Lanka
B Lee,16,2.0,0,5.6,Australia
DS Smith,61,7.0,0,11.1666666667,West Indies
SW Masakadza,33,5.0,0,7.33333333333,Zimbabwe
AR Cusack,32,4.0,0,11.0,Ireland
AN Petersen,31,1.0,0,11.4,South Africa
Shuvagoto Hom,18,2.0,0,14.0,Bangladesh
PJ Forrest,40,4.0,0,11.8,Australia
Abdul Razzaq,37,1.0,0,8.58333333333,Pakistan
MS Dhoni,930,75.0,0,12.1881188119,India
PP Ojha,7,1.0,0,6.66666666667,India
MA Carberry,16,2.0,0,18.0,England
TM Dilshan,605,51.0,0,12.7272727273,Sri Lanka
F Behardien,64,2.0,0,12.2222222222,South Africa
AJ Strauss,122,6.0,0,11.8461538462,England
NL McCullum,112,10.0,0,8.84210526316,New Zealand
JH Kallis,380,22.0,0,12.7179487179,South Africa
AG Cremer,31,2.0,0,7.375,Zimbabwe
MM Patel,4,1.0,0,2.5,India
LRPL Taylor,639,43.0,0,13.484375,New Zealand
CH Gayle,185,19.0,0,15.2857142857,West Indies
J Charles,56,6.0,0,10.0,West Indies
PC de Silva,9,1.0,0,15.0,Sri Lanka
Khaled Mashud,13,1.0,0,10.0,Bangladesh
Nasir Hossain,158,19.0,0,11.65,Bangladesh
G Gambhir,405,33.0,0,13.7352941176,India
SCJ Broad,54,4.0,0,10.7142857143,England
MDKJ Perera,49,3.0,0,13.4,Sri Lanka
HH Gibbs,160,14.0,0,13.125,South Africa
NJ Astle,19,1.0,0,11.0,New Zealand
Hammad Azam,21,2.0,0,13.0,Pakistan
WTS Porterfield,57,4.0,0,14.3333333333,Ireland
SJ Benn,10,2.0,0,3.0,West Indies
Sohag Gazi,9,1.0,0,3.25,Bangladesh
TT Samaraweera,96,11.0,0,11.7272727273,Sri Lanka
NJ O'Brien,82,6.0,0,10.25,Ireland
HM Nicholls,31,2.0,0,11.8,New Zealand
A Balbirnie,26,2.0,0,10.75,Ireland
Anwar Ali,9,1.0,0,7.25,Pakistan
MF Maharoof,45,3.0,0,11.7142857143,Sri Lanka
CJ Anderson,75,11.0,0,8.125,New Zealand
Imad Wasim,14,2.0,0,16.0,Pakistan
Mohammad Yousuf,291,16.0,0,13.40625,Pakistan
Z Khan,15,1.0,0,8.0,India
Misbah-ul-Haq,635,45.0,0,12.8142857143,Pakistan
DPMD Jayawardene,781,61.0,0,12.1153846154,Sri Lanka
DA Warner,104,6.0,0,12.0,Australia
Naeem Islam,119,11.0,0,12.6,Bangladesh
PG Fulton,84,4.0,0,11.4545454545,New Zealand
F du Plessis,349,29.0,0,11.5833333333,South Africa
Anamul Haque,74,5.0,0,15.7142857143,Bangladesh
Shakib Al Hasan,619,45.0,0,12.1764705882,Bangladesh
Shahriar Nafees,37,3.0,0,13.25,Bangladesh
HJH Marshall,20,2.0,0,16.0,New Zealand
Ahmed Shehzad,193,15.0,0,12.2941176471,Pakistan
RS Morton,83,6.0,0,11.5,West Indies
KOA Powell,80,14.0,0,10.0,West Indies
Abdur Razzak,35,2.0,0,9.875,Bangladesh
Javed Omar,12,1.0,0,16.0,Bangladesh
WD Parnell,29,4.0,0,11.6,South Africa
SP Fleming,89,11.0,0,13.0,New Zealand
KS Williamson,447,37.0,0,12.4473684211,New Zealand
DJG Sammy,179,16.0,0,10.5,West Indies
SF Mire,26,2.0,0,7.75,Zimbabwe
Sabbir Rahman,43,5.0,0,9.5,Bangladesh
FDM Karunaratne,26,2.0,0,13.5,Sri Lanka
JR Hopes,41,4.0,0,11.5714285714,Australia
Soumya Sarkar,39,6.0,0,8.66666666667,Bangladesh
JL Denly,19,2.0,0,8.0,England
LPC Silva,144,9.0,0,12.4210526316,Sri Lanka
E Chigumbura,326,30.0,0,11.5,Zimbabwe
P Utseya,66,4.0,0,10.5,Zimbabwe
KP Pietersen,287,23.0,0,11.90625,England
IDR Bradshaw,7,1.0,0,16.0,West Indies
TT Bresnan,45,3.0,0,11.5714285714,England
GJ Hopkins,29,2.0,0,7.42857142857,New Zealand
CL White,237,19.0,0,11.7333333333,Australia
CJ Ferguson,116,11.0,0,14.6666666667,Australia
YK Pathan,91,14.0,0,8.0,India
DL Vettori,152,15.0,0,7.36363636364,New Zealand
Haris Sohail,69,6.0,0,9.375,Pakistan
Naved-ul-Hasan,12,1.0,0,6.66666666667,Pakistan
Imran Nazir,21,3.0,0,15.0,Pakistan
BJ Haddin,130,11.0,0,11.0952380952,Australia
LD Chandimal,268,12.0,0,10.8947368421,Sri Lanka
SL Malinga,35,6.0,0,8.33333333333,Sri Lanka
AD Russell,105,17.0,0,7.91666666667,West Indies
AN Cook,134,10.0,0,10.2352941176,England
TWM Latham,71,6.0,0,9.41666666667,New Zealand
AJ Finch,139,11.0,0,14.0,Australia
BC Lara,155,17.0,0,14.6,West Indies
JDS Neesham,8,1.0,0,3.8,New Zealand
RA Jadeja,173,21.0,0,12.6,India
ML Hayden,117,11.0,0,11.2,Australia
PJ Hughes,73,9.0,0,11.1428571429,Australia
AR White,50,2.0,0,14.0,Ireland
BB Chari,8,1.0,0,15.0,Zimbabwe
KM Jadhav,10,2.0,0,17.0,India
Khalid Latif,11,1.0,0,15.0,Pakistan
Shahid Afridi,412,47.0,0,9.12820512821,Pakistan
BMAJ Mendis,26,1.0,0,7.25,Sri Lanka
STR Binny,22,3.0,0,16.5,India
Mashrafe Mortaza,73,7.0,0,9.30769230769,Bangladesh
Mohammad Rizwan,52,7.0,0,12.6,Pakistan
CD McMillan,84,10.0,0,14.1666666667,New Zealand
SMA Priyanjan,46,5.0,0,13.0,Sri Lanka
JP Duminy,495,30.0,0,10.8305084746,South Africa
GB Brent,11,1.0,0,17.0,Zimbabwe
Mohammad Amir,7,1.0,0,17.0,Pakistan
NO Miller,37,5.0,0,7.0,West Indies
XJ Doherty,5,1.0,0,7.0,Australia
M Vijay,17,1.0,0,17.0,India
DA Miller,239,22.0,0,10.8181818182,South Africa
T Taibu,182,11.0,0,11.6818181818,Zimbabwe
M Muralitharan,7,1.0,0,6.0,Sri Lanka
JJ Roy,22,2.0,0,15.0,England
Jahurul Islam,26,2.0,0,11.6666666667,Bangladesh
DJ Hussey,261,20.0,0,12.4074074074,Australia
SC Ganguly,82,9.0,0,11.0,India
L Ronchi,66,6.0,0,9.625,New Zealand
GJ Maxwell,170,18.0,0,11.4,Australia
DW Steyn,8,1.0,0,5.5,South Africa
SM Pollock,81,8.0,0,12.0,South Africa
DR Smith,45,7.0,0,13.2,West Indies
Kamran Akmal,97,6.0,0,11.4615384615,Pakistan
PD Collingwood,557,42.0,0,13.6851851852,England
AB de Villiers,1010,73.0,0,12.25,South Africa
S Randiv,36,3.0,0,10.2,Sri Lanka
Aamer Yamin,19,3.0,0,22.0,Pakistan
Asad Shafiq,212,14.0,0,13.1363636364,Pakistan
JE Root,308,20.0,0,11.7941176471,England
MS Sinclair,14,1.0,0,15.0,New Zealand
JWM Dalrymple,40,3.0,0,14.3333333333,England
V Sibanda,65,5.0,0,12.25,Zimbabwe
Aftab Ahmed,56,5.0,0,10.5,Bangladesh
ME Trescothick,38,3.0,0,15.0,England
Mominul Haque,24,1.0,0,10.6,Bangladesh
Babar Azam,41,4.0,0,10.4,Pakistan
KDK Vithanage,5,1.0,0,5.0,Sri Lanka
Liton Das,5,1.0,0,3.0,Bangladesh
C Kieswetter,29,2.0,0,11.5,England
DR Martyn,23,3.0,0,15.5,Australia
AJ Hall,12,1.0,0,11.5,South Africa
Sikandar Raza,101,7.0,0,12.6666666667,Zimbabwe
C Munro,20,1.0,0,8.5,New Zealand
DT Johnston,19,3.0,0,8.6,Ireland
M Morkel,5,1.0,0,3.0,South Africa
Nasir Jamshed,92,7.0,0,12.8888888889,Pakistan
