Batsman,Total Runs Scored,Home Runs,Non Home Runs,Balls Faced,R0,W0,R1,W1,Target,Team
IR Bell,40,4,36,68,143,3,20,0,0,England
ME Trescothick,99,44,55,106,143,3,20,0,0,England
KJ O'Brien,10,0,10,20,110,6,24,0,232,Ireland
AR White,21,12,9,26,110,6,24,0,233,Ireland
R Clarke,31,8,23,38,104,6,24,0,0,England
CMW Read,17,4,13,22,104,6,24,0,0,England
D Gough,0,0,0,0,104,6,24,0,0,England
J Lewis,0,0,0,0,104,6,24,0,0,England
SCJ Broad,0,0,0,0,104,6,24,0,0,England
Mohammad Yousuf,44,8,36,73,108,3,43,0,158,Pakistan
Inzamam-ul-Haq,41,20,21,25,108,3,43,0,159,Pakistan
PD Collingwood,30,16,14,33,144,4,18,0,0,England
JWM Dalrymple,20,4,16,43,144,4,18,0,0,England
Younis Khan,94,54,40,103,140,2,32,0,252,Pakistan
Mohammad Yousuf,57,20,37,94,140,2,32,0,253,Pakistan
Inzamam-ul-Haq,0,0,0,0,140,2,32,0,254,Pakistan
Shahid Afridi,0,0,0,0,140,2,32,0,255,Pakistan
Kamran Akmal,4,0,4,11,106,5,13,1,0,Pakistan
Abdul Razzaq,8,0,8,20,106,5,13,1,0,Pakistan
Shoaib Akhtar,0,0,0,0,106,5,13,1,0,Pakistan
IR Bell,64,32,32,84,142,2,17,0,219,England
KP Pietersen,4,0,4,8,142,2,17,0,220,England
Younis Khan,26,8,18,57,71,6,16,1,0,Pakistan
Naved-ul-Hasan,4,0,4,10,71,6,16,1,0,Pakistan
Iftikhar Anjum,0,0,0,0,71,6,16,1,0,Pakistan
RP Arnold,2,0,2,6,133,3,23,1,0,Sri Lanka
WU Tharanga,91,48,43,122,133,3,23,1,0,Sri Lanka
CK Kapugedera,0,0,0,0,133,3,23,1,0,Sri Lanka
GO Jones,5,0,5,6,123,4,15,1,226,England
JWM Dalrymple,37,12,25,60,123,4,15,1,227,England
TT Bresnan,0,0,0,0,123,4,15,1,228,England
KC Sangakkara,3,0,3,4,167,1,16,1,0,Sri Lanka
ST Jayasuriya,97,56,41,121,167,1,16,1,0,Sri Lanka
PD Collingwood,36,4,32,46,163,3,18,1,262,England
JWM Dalrymple,5,0,5,9,163,3,18,1,263,England
GO Jones,0,0,0,0,163,3,18,1,264,England
JWM Dalrymple,3,0,3,7,120,3,19,1,0,England
IR Bell,29,0,29,68,120,3,19,1,0,England
KC Sangakkara,26,0,26,51,169,2,24,0,249,Sri Lanka
DPMD Jayawardene,103,64,39,110,169,2,24,0,250,Sri Lanka
DPMD Jayawardene,91,28,63,84,159,3,27,1,0,Sri Lanka
RP Arnold,7,0,7,7,159,3,27,1,0,Sri Lanka
MF Maharoof,0,0,0,0,159,3,27,1,0,Sri Lanka
WPUJC Vaas,0,0,0,0,159,3,27,1,0,Sri Lanka
GO Jones,1,0,1,1,161,4,15,1,276,England
JWM Dalrymple,7,0,7,22,161,4,15,1,277,England
AJ Strauss,21,4,17,26,157,2,36,0,0,England
ME Trescothick,113,70,43,110,157,2,36,0,0,England
VS Solanki,0,0,0,0,157,2,36,0,0,England
JWM Dalrymple,0,0,0,0,157,2,36,0,0,England
KC Sangakkara,4,0,4,7,253,0,17,2,297,Sri Lanka
DPMD Jayawardene,5,0,5,11,253,0,17,2,298,Sri Lanka
M Kaif,54,8,46,80,164,3,25,0,0,India
MS Dhoni,12,4,8,19,164,3,25,0,0,India
Y Venugopal Rao,0,0,0,0,164,3,25,0,0,India
IK Pathan,0,0,0,0,164,3,25,0,0,India
RR Sarwan,72,40,32,79,119,4,28,0,232,West Indies
S Chanderpaul,19,12,7,25,119,4,28,0,233,West Indies
MS Dhoni,3,0,3,11,107,3,14,1,0,India
M Kaif,33,12,21,54,107,3,14,1,0,India
DJ Bravo,29,4,25,40,111,3,27,0,205,West Indies
BC Lara,48,20,28,83,111,3,27,0,206,West Indies
DJ Bravo,5,0,5,4,109,2,22,1,0,West Indies
BC Lara,23,4,19,49,109,2,22,1,0,West Indies
WW Hinds,0,0,0,0,109,2,22,1,0,West Indies
V Sehwag,88,42,46,103,140,4,20,1,217,India
SK Raina,2,0,2,13,140,4,20,1,218,India
AB Agarkar,0,0,0,0,140,4,20,1,219,India
Harbhajan Singh,0,0,0,0,140,4,20,1,220,India
MN Samuels,35,24,11,39,94,3,35,0,0,West Indies
BC Lara,24,14,10,43,94,3,35,0,0,West Indies
Shoaib Malik,19,8,11,21,102,4,19,2,184,Pakistan
Naved-ul-Hasan,3,0,3,7,102,4,19,2,185,Pakistan
AR White,17,4,13,37,104,5,17,0,0,Ireland
JP Bray,71,36,35,103,104,5,17,0,0,Ireland
DT Johnston,0,0,0,0,104,5,17,0,0,Ireland
BRM Taylor,8,4,4,13,125,5,24,0,212,Zimbabwe
S Matsikenyeri,32,22,10,36,125,5,24,0,213,Zimbabwe
KP Pietersen,60,22,38,90,103,3,19,1,0,England
JWM Dalrymple,0,0,0,0,103,3,19,1,0,England
A Flintoff,0,0,0,0,103,3,19,1,0,England
PA Nixon,0,0,0,0,103,3,19,1,0,England
LE Plunkett,0,0,0,0,103,3,19,1,0,England
JDP Oram,46,14,32,64,127,4,20,0,185,New Zealand
SB Styris,67,24,43,100,127,4,20,0,186,New Zealand
Yuvraj Singh,25,8,17,36,79,4,25,0,0,India
SC Ganguly,47,16,31,105,79,4,25,0,0,India
Mushfiqur Rahim,29,10,19,67,112,3,23,0,180,Bangladesh
Shakib Al Hasan,45,20,25,76,112,3,23,0,181,Bangladesh
Habibul Bashar,0,0,0,0,112,3,23,0,182,Bangladesh
Mohammad Sami,3,0,3,14,82,6,6,2,0,Pakistan
Iftikhar Anjum,3,0,3,14,82,6,6,2,0,Pakistan
KJ O'Brien,8,4,4,28,77,4,25,3,120,Ireland
DT Johnston,0,0,0,0,77,4,25,3,121,Ireland
SC Williams,30,8,22,44,87,4,14,0,0,Zimbabwe
BRM Taylor,42,10,32,113,87,4,14,0,0,Zimbabwe
BC Lara,12,0,12,30,102,3,13,1,183,West Indies
DJ Bravo,2,0,2,7,102,3,13,1,184,West Indies
DPMD Jayawardene,45,20,25,69,143,1,35,0,0,Sri Lanka
KC Sangakkara,24,4,20,31,143,1,35,0,0,Sri Lanka
LPC Silva,0,0,0,0,143,1,35,0,0,Sri Lanka
Mohammad Ashraful,37,16,21,53,75,7,22,1,106,Bangladesh
Abdur Razzak,0,0,0,1,75,7,22,1,107,Bangladesh
Syed Rasel,0,0,0,0,75,7,22,1,108,Bangladesh
Imran Nazir,99,56,43,96,156,3,28,1,0,Pakistan
Younis Khan,9,0,9,15,156,3,28,1,0,Pakistan
TM Dilshan,6,0,6,8,103,3,20,1,0,Sri Lanka
LPC Silva,25,4,21,37,103,3,20,1,0,Sri Lanka
Harbhajan Singh,1,0,1,1,113,6,17,1,178,India
R Dravid,40,8,32,73,113,6,17,1,179,India
Z Khan,0,0,0,0,113,6,17,1,180,India
MM Patel,0,0,0,0,113,6,17,1,181,India
AC Botha,25,10,15,40,90,4,22,0,0,Ireland
KJ O'Brien,17,4,13,46,90,4,22,0,0,Ireland
AR White,0,0,0,0,90,4,22,0,0,Ireland
WK McCallan,0,0,0,0,90,4,22,0,0,Ireland
S Chanderpaul,94,60,34,106,143,2,18,0,184,West Indies
MN Samuels,13,8,5,22,143,2,18,0,185,West Indies
RT Ponting,52,26,26,63,192,2,38,0,0,Australia
MJ Clarke,35,18,17,40,192,2,38,0,0,Australia
MV Boucher,4,0,4,11,194,1,22,2,278,South Africa
JH Kallis,30,12,18,42,194,1,22,2,279,South Africa
JM Kemp,0,0,0,0,194,1,22,2,280,South Africa
A Symonds,10,4,6,16,157,2,31,1,0,Australia
ML Hayden,95,38,57,108,157,2,31,1,0,Australia
MEK Hussey,0,0,0,0,157,2,31,1,0,Australia
D Ramdin,19,12,7,18,104,5,41,0,204,West Indies
BC Lara,77,38,39,86,104,5,41,0,205,West Indies
DR Smith,0,0,0,0,104,5,41,0,206,West Indies
JE Taylor,0,0,0,0,104,5,41,0,207,West Indies
RP Arnold,14,0,14,34,107,5,21,0,0,Sri Lanka
TM Dilshan,27,4,23,42,107,5,21,0,0,Sri Lanka
JH Kallis,69,16,53,85,146,2,15,2,200,South Africa
JM Kemp,2,0,2,5,146,2,15,2,201,South Africa
SM Pollock,0,0,0,0,146,2,15,2,202,South Africa
BC Lara,33,4,29,43,110,4,23,1,0,West Indies
D Ramdin,6,4,2,8,110,4,23,1,0,West Indies
LMP Simmons,0,0,0,0,110,4,23,1,0,West Indies
SB Styris,51,12,39,74,118,3,19,0,174,New Zealand
CD McMillan,26,12,14,48,118,3,19,0,175,New Zealand
PD Collingwood,25,8,17,40,112,4,20,0,0,England
A Flintoff,21,12,9,38,112,4,20,0,0,England
KJ O'Brien,7,0,7,16,104,4,16,0,202,Ireland
NJ O'Brien,62,16,46,84,104,4,16,0,203,Ireland
AR White,0,0,0,0,104,4,16,0,204,Ireland
DT Johnston,0,0,0,0,104,4,16,0,205,Ireland
ST Jayasuriya,102,60,42,99,137,2,40,0,0,Sri Lanka
DPMD Jayawardene,60,14,46,90,137,2,40,0,0,Sri Lanka
LPC Silva,0,0,0,0,137,2,40,0,0,Sri Lanka
S Chanderpaul,48,16,32,95,90,3,37,1,180,West Indies
MN Samuels,2,0,2,2,90,3,37,1,181,West Indies
DR Smith,0,0,0,0,90,3,37,1,182,West Indies
D Ramdin,0,0,0,0,90,3,37,1,183,West Indies
IDR Bradshaw,0,0,0,0,90,3,37,1,184,West Indies
Shakib Al Hasan,25,4,21,40,97,3,17,1,0,Bangladesh
Mushfiqur Rahim,0,0,0,0,97,3,17,1,0,Bangladesh
Mohammad Ashraful,2,0,2,5,97,3,17,1,0,Bangladesh
Mashrafe Mortaza,0,0,0,0,97,3,17,1,0,Bangladesh
Mohammad Rafique,0,0,0,0,97,3,17,1,0,Bangladesh
LPC Silva,0,0,0,1,124,2,28,1,0,Sri Lanka
DPMD Jayawardene,48,12,36,50,124,2,28,1,0,Sri Lanka
TM Dilshan,0,0,0,0,124,2,28,1,0,Sri Lanka
PA Nixon,3,0,3,6,119,3,15,3,228,England
RS Bopara,0,0,0,4,119,3,15,3,229,England
Mohammad Ashraful,32,16,16,47,100,4,18,0,0,Bangladesh
Aftab Ahmed,17,4,13,33,100,4,18,0,0,Bangladesh
Mushfiqur Rahim,0,0,0,0,100,4,18,0,0,Bangladesh
HH Gibbs,26,10,16,29,90,6,31,0,171,South Africa
SM Pollock,16,0,16,20,90,6,31,0,172,South Africa
A Nel,0,0,0,0,90,6,31,0,173,South Africa
CK Langeveldt,0,0,0,0,90,6,31,0,174,South Africa
KP Pietersen,69,26,43,82,155,3,9,1,0,England
A Flintoff,4,0,4,18,155,3,9,1,0,England
RS Bopara,0,0,0,0,155,3,9,1,0,England
MJ Clarke,24,0,24,36,129,2,35,0,238,Australia
RT Ponting,72,36,36,89,129,2,35,0,239,Australia
JDP Oram,13,0,13,31,127,4,23,0,0,New Zealand
PG Fulton,79,36,43,109,127,4,23,0,0,New Zealand
BB McCullum,0,0,0,0,127,4,23,0,0,New Zealand
PG Gillespie,2,0,2,3,104,4,17,3,122,Ireland
D Langford-Smith,0,0,0,0,104,4,17,3,123,Ireland
WK McCallan,0,0,0,2,104,4,17,3,124,Ireland
WB Rankin,0,0,0,0,104,4,17,3,125,Ireland
AB de Villiers,94,42,52,107,150,1,32,0,0,South Africa
JH Kallis,81,30,51,86,150,1,32,0,0,South Africa
HH Gibbs,0,0,0,0,150,1,32,0,0,South Africa
RR Sarwan,86,46,40,69,165,6,35,1,283,West Indies
IDR Bradshaw,4,0,4,9,165,6,35,1,284,West Indies
DBL Powell,0,0,0,0,165,6,35,1,285,West Indies
Shakib Al Hasan,53,30,23,93,98,7,18,1,0,Bangladesh
Abdur Razzak,11,8,3,10,98,7,18,1,0,Bangladesh
Syed Rasel,0,0,0,0,98,7,18,1,0,Bangladesh
PD Collingwood,17,4,13,47,95,4,10,2,130,England
PA Nixon,2,0,2,7,95,4,10,2,131,England
JDP Oram,20,0,20,34,103,4,16,0,0,New Zealand
SB Styris,70,24,46,114,103,4,16,0,0,New Zealand
BB McCullum,0,0,0,0,103,4,16,0,0,New Zealand
DL Vettori,0,0,0,0,103,4,16,0,0,New Zealand
LPC Silva,17,12,5,21,130,2,20,1,197,Sri Lanka
KC Sangakkara,43,4,39,78,130,2,20,1,198,Sri Lanka
TM Dilshan,0,0,0,0,130,2,20,1,199,Sri Lanka
AG Prince,25,4,21,46,84,3,21,0,0,South Africa
HH Gibbs,57,14,43,96,84,3,21,0,0,South Africa
MV Boucher,0,0,0,0,84,3,21,0,0,South Africa
SB Styris,41,12,29,62,112,2,10,1,185,New Zealand
CD McMillan,5,0,5,19,112,2,10,1,186,New Zealand
KJ O'Brien,2,0,2,9,99,2,19,1,0,Ireland
WTS Porterfield,70,12,58,117,99,2,19,1,0,Ireland
Abdur Razzak,2,0,2,6,107,5,16,3,148,Bangladesh
Habibul Bashar,17,0,17,36,107,5,16,3,149,Bangladesh
DPMD Jayawardene,61,26,35,76,105,3,35,0,0,Sri Lanka
LPC Silva,61,24,37,102,105,3,35,0,0,Sri Lanka
TM Dilshan,0,0,0,0,105,3,35,0,0,Sri Lanka
RP Arnold,0,0,0,0,105,3,35,0,0,Sri Lanka
RT Ponting,46,12,34,59,152,3,30,0,224,Australia
A Symonds,42,24,18,46,152,3,30,0,225,Australia
A Flintoff,5,0,5,10,95,3,14,2,0,England
PA Nixon,0,0,0,0,95,3,14,2,0,England
RS Bopara,1,0,1,3,95,3,14,2,0,England
SI Mahmood,0,0,0,0,95,3,14,2,0,England
MS Panesar,0,0,0,0,95,3,14,2,0,England
RR Sarwan,28,8,20,41,80,3,32,0,0,West Indies
S Chanderpaul,47,12,35,81,80,3,32,0,0,West Indies
BC Lara,0,0,0,0,80,3,32,0,0,West Indies
Mushfiqur Rahim,20,4,16,52,81,6,19,1,122,Bangladesh
Mohammad Rafique,0,0,0,0,81,6,19,1,123,Bangladesh
Abdur Razzak,0,0,0,0,81,6,19,1,124,Bangladesh
Syed Rasel,0,0,0,0,81,6,19,1,125,Bangladesh
MJ Clarke,41,20,21,44,195,2,18,1,0,Australia
A Symonds,0,0,0,0,195,2,18,1,0,Australia
MEK Hussey,2,0,2,3,195,2,18,1,0,Australia
MN Samuels,18,8,10,19,158,2,25,2,0,West Indies
S Chanderpaul,4,4,0,5,158,2,25,2,0,West Indies
JWM Dalrymple,1,0,1,1,150,4,26,1,280,England
KP Pietersen,42,12,30,55,150,4,26,1,281,England
PA Nixon,0,0,0,0,150,4,26,1,282,England
DPMD Jayawardene,28,4,24,57,118,3,24,1,0,Sri Lanka
TM Dilshan,1,0,1,2,118,3,24,1,0,Sri Lanka
JEC Franklin,12,0,12,22,120,7,26,2,188,New Zealand
JS Patel,11,4,7,15,120,7,26,2,189,New Zealand
A Nel,7,4,3,18,92,8,15,0,0,South Africa
JM Kemp,31,14,17,75,92,8,15,0,0,South Africa
A Symonds,15,8,7,13,205,1,31,1,0,Australia
RT Ponting,34,10,24,41,205,1,31,1,0,Australia
SR Watson,0,0,0,0,205,1,31,1,0,Australia
MJ Clarke,0,0,0,0,205,1,31,1,0,Australia
CRD Fernando,0,0,0,4,177,5,22,3,201,Sri Lanka
WPUJC Vaas,11,0,11,18,177,5,22,3,202,Sri Lanka
BRM Taylor,16,0,16,55,110,2,19,0,0,Zimbabwe
H Masakadza,56,16,40,84,110,2,19,0,0,Zimbabwe
E Chigumbura,0,0,0,0,110,2,19,0,0,Zimbabwe
Shahriar Nafees,89,36,53,121,123,2,23,0,192,Bangladesh
Shakib Al Hasan,14,4,10,18,123,2,23,0,193,Bangladesh
JH Kallis,77,48,29,119,127,3,17,1,0,South Africa
MV Boucher,1,0,1,2,127,3,17,1,0,South Africa
JM Kemp,20,4,16,47,105,6,22,0,0,South Africa
SM Pollock,33,20,13,49,105,6,22,0,0,South Africa
AJ Hall,0,0,0,0,105,6,22,0,0,South Africa
Harbhajan Singh,5,4,1,7,118,4,19,2,164,India
R Dravid,50,16,34,95,118,4,19,2,165,India
AB Agarkar,0,0,0,0,118,4,19,2,166,India
Z Khan,0,0,0,0,118,4,19,2,167,India
HH Gibbs,57,20,37,89,131,4,17,1,0,South Africa
JM Kemp,0,0,0,0,131,4,17,1,0,South Africa
SM Pollock,0,0,0,0,131,4,17,1,0,South Africa
IK Pathan,40,24,16,46,131,7,12,2,152,India
S Sreesanth,2,0,2,4,131,7,12,2,153,India
MS Dhoni,4,0,4,10,90,2,15,1,0,India
D Mongia,35,12,23,81,90,2,15,1,0,India
KD Karthik,0,0,0,0,90,2,15,1,0,India
MEK Hussey,5,0,5,16,142,3,15,1,0,Australia
A Symonds,21,4,17,30,142,3,15,1,0,Australia
JEC Franklin,3,0,3,8,147,3,14,3,175,New Zealand
DL Vettori,1,0,1,3,147,3,14,3,176,New Zealand
SE Bond,0,0,0,0,147,3,14,3,177,New Zealand
MR Gillespie,0,0,0,0,147,3,14,3,178,New Zealand
JS Patel,0,0,0,0,147,3,14,3,179,New Zealand
DL Vettori,1,0,1,5,84,5,25,1,0,New Zealand
CD McMillan,36,22,14,55,84,5,25,1,0,New Zealand
JEC Franklin,0,0,0,0,84,5,25,1,0,New Zealand
MJ Clarke,69,32,37,106,112,4,29,0,209,Australia
MEK Hussey,26,8,18,41,112,4,29,0,210,Australia
CL White,0,0,0,0,112,4,29,0,211,Australia
RT Ponting,73,20,53,95,142,1,28,0,0,Australia
ML Hayden,84,32,52,99,142,1,28,0,0,Australia
MJ Clarke,0,0,0,0,142,1,28,0,0,Australia
LRPL Taylor,39,8,31,50,151,4,28,0,309,New Zealand
BB McCullum,0,0,0,0,151,4,28,0,310,New Zealand
JDP Oram,18,4,14,24,151,4,28,0,311,New Zealand
LRPL Taylor,5,0,5,10,138,1,21,1,0,New Zealand
L Vincent,85,26,59,113,138,1,21,1,0,New Zealand
SB Styris,0,0,0,0,138,1,21,1,0,New Zealand
RT Ponting,70,20,50,78,135,3,28,0,279,Australia
BJ Hodge,27,0,27,46,135,3,28,0,280,Australia
PD Collingwood,38,8,30,64,118,3,26,0,0,England
KP Pietersen,53,18,35,67,118,3,26,0,0,England
A Flintoff,0,0,0,0,118,3,26,0,0,England
RT Ponting,57,24,33,58,153,2,25,0,228,Australia
MJ Clarke,33,12,21,51,153,2,25,0,229,Australia
JWM Dalrymple,21,8,13,29,112,6,21,1,0,England
CT Tremlett,7,4,3,16,112,6,21,1,0,England
J Lewis,0,0,0,0,112,6,21,1,0,England
