Batsman,Player Total Runs ,Player Home Runs,Player Non Home Runs,Balls Faced,R0,W0,R1,W1,Current_HR,Current_NHR,Total Runs in Segment, Total HR till Segment, Total NHR till Segment,Total Runs Till Segment,Target,Final Runs Made,Extras,Team,Home,Segment
ME Trescothick,106.0,44.0,62.0,114,163.0,3,28.0,0,8.0,31.0,39,80,150,230,0,301,28,England,0,9
IR Bell,61.0,12.0,49.0,92,163.0,3,28.0,0,8.0,31.0,39,80,150,230,0,301,28,England,0,9
JWM Dalrymple,0.0,0.0,0.0,0,163.0,3,28.0,0,8.0,31.0,39,80,150,230,0,301,28,England,0,9
AR White,30.0,16.0,14.0,36,134.0,6,21.0,0,18.0,20.0,38,82,111,193,302,263,32,Ireland,1,9
KJ O'Brien,22.0,4.0,18.0,40,134.0,6,21.0,0,18.0,20.0,38,82,111,193,302,263,32,Ireland,1,9
D Langford-Smith,0.0,0.0,0.0,0,134.0,6,21.0,0,18.0,20.0,38,82,111,193,302,263,32,Ireland,1,9
JF Mooney,0.0,0.0,0.0,0,134.0,6,21.0,0,18.0,20.0,38,82,111,193,302,263,32,Ireland,1,9
JWM Dalrymple,44.0,12.0,32.0,67,162.0,4,30.0,0,8.0,24.0,32,92,132,224,0,271,6,England,1,9
PD Collingwood,36.0,16.0,20.0,39,162.0,4,30.0,0,8.0,24.0,32,92,132,224,0,271,6,England,1,9
R Clarke,0.0,0.0,0.0,0,162.0,4,30.0,0,8.0,24.0,32,92,132,224,0,271,6,England,1,9
CMW Read,0.0,0.0,0.0,0,162.0,4,30.0,0,8.0,24.0,32,92,132,224,0,271,6,England,1,9
Inzamam-ul-Haq,18.0,14.0,4.0,10,172.0,2,28.0,2,6.0,21.0,27,112,115,227,272,274,18,Pakistan,0,9
Shahid Afridi,0.0,0.0,0.0,1,172.0,2,28.0,2,6.0,21.0,27,112,115,227,272,274,18,Pakistan,0,9
Abdul Razzaq,0.0,0.0,0.0,0,172.0,2,28.0,2,6.0,21.0,27,112,115,227,272,274,18,Pakistan,0,9
Abdul Razzaq,18.0,4.0,14.0,34,119.0,6,16.0,1,10.0,10.0,20,64,91,155,0,235,10,Pakistan,0,9
Shoaib Akhtar,0.0,0.0,0.0,5,119.0,6,16.0,1,10.0,10.0,20,64,91,155,0,235,10,Pakistan,0,9
IR Bell,74.0,36.0,38.0,100,159.0,2,26.0,0,12.0,11.0,23,108,100,208,236,237,19,England,1,9
KP Pietersen,20.0,12.0,8.0,23,159.0,2,26.0,0,12.0,11.0,23,108,100,208,236,237,19,England,1,9
Younis Khan,37.0,12.0,25.0,70,87.0,7,15.0,1,4.0,9.0,13,34,81,115,0,154,22,Pakistan,0,9
Iftikhar Anjum,0.0,0.0,0.0,2,87.0,7,15.0,1,4.0,9.0,13,34,81,115,0,154,22,Pakistan,0,9
Mohammad Asif,0.0,0.0,0.0,0,87.0,7,15.0,1,4.0,9.0,13,34,81,115,0,154,22,Pakistan,0,9
WPUJC Vaas,0.0,0.0,0.0,0,156.0,4,18.0,2,0.0,17.0,17,74,117,191,0,257,34,Sri Lanka,0,9
WU Tharanga,102.0,52.0,50.0,137,156.0,4,18.0,2,0.0,17.0,17,74,117,191,0,257,34,Sri Lanka,0,9
TT Bresnan,1.0,0.0,1.0,1,138.0,5,30.0,1,8.0,20.0,28,66,130,196,258,237,10,England,1,9
JWM Dalrymple,52.0,16.0,36.0,72,138.0,5,30.0,1,8.0,20.0,28,66,130,196,258,237,10,England,1,9
KC Sangakkara,24.0,10.0,14.0,21,183.0,2,35.0,0,20.0,16.0,36,128,126,254,0,319,27,Sri Lanka,0,9
ST Jayasuriya,111.0,64.0,47.0,135,183.0,2,35.0,0,20.0,16.0,36,128,126,254,0,319,27,Sri Lanka,0,9
TM Dilshan,0.0,0.0,0.0,0,183.0,2,35.0,0,20.0,16.0,36,128,126,254,0,319,27,Sri Lanka,0,9
JWM Dalrymple,17.0,0.0,17.0,22,181.0,4,32.0,1,24.0,11.0,35,112,136,248,320,273,11,England,1,9
GO Jones,0.0,0.0,0.0,1,181.0,4,32.0,1,24.0,11.0,35,112,136,248,320,273,11,England,1,9
TT Bresnan,0.0,0.0,0.0,0,181.0,4,32.0,1,24.0,11.0,35,112,136,248,320,273,11,England,1,9
SI Mahmood,0.0,0.0,0.0,0,181.0,4,32.0,1,24.0,11.0,35,112,136,248,320,273,11,England,1,9
JWM Dalrymple,10.0,0.0,10.0,18,139.0,4,23.0,0,18.0,22.0,40,78,124,202,0,261,14,England,1,9
IR Bell,45.0,8.0,37.0,87,139.0,4,23.0,0,18.0,22.0,40,78,124,202,0,261,14,England,1,9
GO Jones,0.0,0.0,0.0,0,139.0,4,23.0,0,18.0,22.0,40,78,124,202,0,261,14,England,1,9
DPMD Jayawardene,118.0,72.0,46.0,124,193.0,2,40.0,0,8.0,7.0,15,146,102,248,262,265,17,Sri Lanka,0,9
KC Sangakkara,51.0,16.0,35.0,68,193.0,2,40.0,0,8.0,7.0,15,146,102,248,262,265,17,Sri Lanka,0,9
MF Maharoof,10.0,0.0,10.0,21,186.0,4,22.0,2,8.0,17.0,25,80,153,233,0,318,28,Sri Lanka,0,9
WPUJC Vaas,3.0,0.0,3.0,5,186.0,4,22.0,2,8.0,17.0,25,80,153,233,0,318,28,Sri Lanka,0,9
HMCM Bandara,0.0,0.0,0.0,0,186.0,4,22.0,2,8.0,17.0,25,80,153,233,0,318,28,Sri Lanka,0,9
TT Bresnan,0.0,0.0,0.0,0,176.0,5,35.0,1,8.0,27.0,35,112,134,246,319,285,8,England,1,9
JWM Dalrymple,20.0,4.0,16.0,33,176.0,5,35.0,1,8.0,27.0,35,112,134,246,319,285,8,England,1,9
LE Plunkett,0.0,0.0,0.0,0,176.0,5,35.0,1,8.0,27.0,35,112,134,246,319,285,8,England,1,9
VS Solanki,14.0,8.0,6.0,10,193.0,2,27.0,2,18.0,20.0,38,120,138,258,0,321,21,England,1,9
JWM Dalrymple,0.0,0.0,0.0,4,193.0,2,27.0,2,18.0,20.0,38,120,138,258,0,321,21,England,1,9
Y Venugopal Rao,1.0,0.0,1.0,9,189.0,3,11.0,2,0.0,11.0,11,82,129,211,0,245,15,India,0,9
IK Pathan,0.0,0.0,0.0,2,189.0,3,11.0,2,0.0,11.0,11,82,129,211,0,245,15,India,0,9
RR Powar,0.0,0.0,0.0,0,189.0,3,11.0,2,0.0,11.0,11,82,129,211,0,245,15,India,0,9
AB Agarkar,0.0,0.0,0.0,0,189.0,3,11.0,2,0.0,11.0,11,82,129,211,0,245,15,India,0,9
S Chanderpaul,27.0,12.0,15.0,40,147.0,4,18.0,0,6.0,25.0,31,96,100,196,246,248,16,West Indies,1,9
