Match Index,Batsman,Player Total Runs ,Player Home Runs,Player Non Home Runs,Balls Faced,R0,W0,R1,W1,Current_HR,Current_NHR,Total Runs in Segment, Total HR till Segment, Total NHR till Segment,Total Runs Till Segment,Target,Final Runs Made,Extras,Team,Home,Segment
1,ME Trescothick,16.0,12.0,4.0,16,0.0,0,22.0,0,24.0,3.0,27,40,9,49,0,301,11,England,0,2
1,EC Joyce,6.0,4.0,2.0,17,0.0,0,22.0,0,24.0,3.0,27,40,9,49,0,301,11,England,0,2
1,AJ Strauss,0.0,0.0,0.0,0,0.0,0,22.0,0,24.0,3.0,27,40,9,49,0,301,11,England,0,2
1,AC Botha,7.0,4.0,3.0,18,0.0,0,15.0,1,16.0,10.0,26,24,17,41,302,263,17,Ireland,1,2
1,JP Bray,8.0,4.0,4.0,14,0.0,0,15.0,1,16.0,10.0,26,24,17,41,302,263,17,Ireland,1,2
2,IR Bell,7.0,4.0,3.0,12,0.0,0,9.0,1,4.0,3.0,7,8,8,16,0,166,5,England,1,2
2,ME Trescothick,2.0,0.0,2.0,17,0.0,0,9.0,1,4.0,3.0,7,8,8,16,0,166,5,England,1,2
2,KP Pietersen,0.0,0.0,0.0,0,0.0,0,9.0,1,4.0,3.0,7,8,8,16,0,166,5,England,1,2
2,PD Collingwood,0.0,0.0,0.0,0,0.0,0,9.0,1,4.0,3.0,7,8,8,16,0,166,5,England,1,2
2,Shoaib Malik,9.0,0.0,9.0,17,0.0,0,16.0,1,8.0,2.0,10,12,14,26,167,169,7,Pakistan,0,2
2,Younis Khan,6.0,4.0,2.0,11,0.0,0,16.0,1,8.0,2.0,10,12,14,26,167,169,7,Pakistan,0,2
2,Mohammad Yousuf,0.0,0.0,0.0,0,0.0,0,16.0,1,8.0,2.0,10,12,14,26,167,169,7,Pakistan,0,2
3,IR Bell,10.0,4.0,6.0,17,0.0,0,27.0,1,16.0,9.0,25,28,24,52,0,271,2,England,1,2
3,AJ Strauss,17.0,8.0,9.0,14,0.0,0,27.0,1,16.0,9.0,25,28,24,52,0,271,2,England,1,2
3,Younis Khan,2.0,0.0,2.0,8,0.0,0,23.0,1,16.0,3.0,19,30,12,42,272,274,2,Pakistan,0,2
3,Mohammad Yousuf,0.0,0.0,0.0,0,0.0,0,23.0,1,16.0,3.0,19,30,12,42,272,274,2,Pakistan,0,2
4,Shahid Afridi,11.0,10.0,1.0,11,0.0,0,21.0,2,4.0,11.0,15,22,14,36,0,235,5,Pakistan,0,2
4,Mohammad Yousuf,2.0,0.0,2.0,6,0.0,0,21.0,2,4.0,11.0,15,22,14,36,0,235,5,Pakistan,0,2
