Batsman,Home Run Hitting Ability,Milestone Reaching Ability,Batting Average, Strike Rate,Matches Played
JA Morkel,2.27777777778,0.0555555555556,18.9444444444,97.5679542203,36
IG Butler,1.14285714286,0,11.1428571429,62.9032258065,7
T Thushara,1.72727272727,0.0454545454545,16.1818181818,92.7083333333,22
V Sehwag,6.15957446809,0.255319148936,39.9255319149,110.382352941,94
KA Edwards,1.875,0.0625,20.6875,64.9019607843,16
SC Williams,2.59154929577,0.267605633803,28.5070422535,81.8439142742,71
DE Bernard,1.0,0,13.4,63.5071090047,10
Anshuman Rath,4.0,0,32.0,62.7450980392,1
WK McCallan,0.692307692308,0,7.69230769231,56.8181818182,13
LE Plunkett,1.38095238095,0,13.1904761905,113.991769547,21
S Mukuddem,1.5,0.25,22.5,60.0,4
RK Whelan,0.5,0,2.5,41.6666666667,2
Nasir Aziz,5.5,0.5,40.5,64.8,2
Shaiman Anwar,5.36363636364,0.363636363636,41.1818181818,88.8235294118,11
SD Outerbridge,0.777777777778,0,8.0,48.9795918367,9
MJ Guptill,4.82352941176,0.310924369748,37.9327731092,82.6891372046,119
Najibullah Zadran,2.38888888889,0.111111111111,17.6666666667,75.355450237,18
GB Hogg,1.14285714286,0,15.5,79.7794117647,14
CT Tremlett,0.4,0,4.2,57.5342465753,10
JW Hastings,1.76923076923,0,13.8461538462,95.2380952381,13
PA Hitchcock,1.0,0,10.0,90.9090909091,1
WD Balaji Rao,0.4,0,4.4,51.1627906977,5
CK Kapugedera,1.71666666667,0.116666666667,20.65,68.9482470785,60
RR Watson,3.2,0.2,21.8,71.009771987,10
N Deonarine,2.09090909091,0.136363636364,20.9545454545,65.7631954351,22
CR Brathwaite,1.14285714286,0,10.1428571429,81.6091954023,7
MC Sorensen,2.0,0,16.8571428571,77.1241830065,7
ML Udawatte,2.85714285714,0.142857142857,24.2857142857,69.6721311475,7
NW Bracken,0.391304347826,0,4.91304347826,62.4309392265,23
DLS van Bunge,2.28571428571,0.142857142857,21.2857142857,58.431372549,7
SR Patel,2.22727272727,0.0454545454545,21.9090909091,90.6015037594,22
M Kartik,1.66666666667,0,12.3333333333,75.5102040816,3
Rubel Hossain,0.37037037037,0,3.11111111111,56.3758389262,27
Ziaur Rahman,1.72727272727,0,11.2727272727,109.734513274,11
CK Coventry,3.15789473684,0.157894736842,28.0526315789,89.4295302013,19
PC de Silva,1.5,0,13.1666666667,78.2178217822,6
D Mongia,2.5,0.166666666667,26.1666666667,60.153256705,6
D Ganga,1.0,0,20.5,39.0476190476,2
TT Samaraweera,2.22222222222,0.0740740740741,23.2222222222,75.0898203593,27
AM Guruge,0.5,0,5.5,42.3076923077,2
MJ Santner,3.0,0,26.7272727273,102.083333333,11
Mohammad Shahzad (2),3.66666666667,0.333333333333,26.3333333333,75.2380952381,3
CR Ervine,3.39473684211,0.236842105263,32.9473684211,77.4752475248,38
XM Marshall,1.5,0,10.5,58.3333333333,8
IR Bell,3.60714285714,0.257142857143,35.5285714286,75.9969442322,140
RV Uthappa,3.02702702703,0.135135135135,22.3243243243,89.3939393939,37
Javed Ahmadi,2.93333333333,0.2,21.4666666667,80.5,15
Tabarak Dar,2.5,0,22.5,47.3684210526,2
KW Richardson,1.0,0,7.5,157.894736842,4
RL Bhudia,2.0,0,22.0,146.666666667,1
Umar Gul,0.766666666667,0,7.2,69.4533762058,60
HDRL Thirimanne,2.67857142857,0.238095238095,30.5595238095,70.970417473,84
MBS Jonkman,0.666666666667,0,6.66666666667,60.6060606061,3
D Elgar,1.0,0,19.6,60.4938271605,5
Abdur Rehman,0.5,0,6.0,56.4102564103,22
H Masakadza,3.37391304348,0.208695652174,29.1652173913,71.0894446799,115
KO Meth,0.8,0,6.4,61.5384615385,5
MS Wade,1.90384615385,0.134615384615,21.3846153846,77.5453277545,52
AM Samad,2.44444444444,0,23.7777777778,59.1160220994,9
LOB Cann,3.3,0.1,21.4,122.988505747,10
B Lee,1.09090909091,0.0227272727273,10.8181818182,81.5068493151,44
JR Hazlewood,0.5,0,2.5,55.5555555556,2
DF Watts,2.44444444444,0.333333333333,24.5555555556,57.4025974026,9
R Mutumbami,2.375,0.0833333333333,18.9583333333,70.2160493827,24
PP Ojha,0.333333333333,0,5.11111111111,40.350877193,9
