Batsman,Home Run Hitting Ability,Milestone Reaching Ability,Matches Played,ClusterID
JA Morkel,2.27777777778,0.0555555555556,36,2
IG Butler,1.14285714286,0.0,7,0
T Thushara,1.72727272727,0.0454545454545,22,0
V Sehwag,6.15957446809,0.255319148936,94,3
KA Edwards,1.875,0.0625,16,2
SC Williams,2.59154929577,0.267605633803,71,2
DE Bernard,1.0,0.0,10,0
Anshuman Rath,4.0,0.0,1,1
WK McCallan,0.692307692308,0.0,13,4
LE Plunkett,1.38095238095,0.0,21,0
S Mukuddem,1.5,0.25,4,0
RK Whelan,0.5,0.0,2,4
Nasir Aziz,5.5,0.5,2,3
Shaiman Anwar,5.36363636364,0.363636363636,11,3
SD Outerbridge,0.777777777778,0.0,9,4
MJ Guptill,4.82352941176,0.310924369748,119,3
Najibullah Zadran,2.38888888889,0.111111111111,18,2
GB Hogg,1.14285714286,0.0,14,0
CT Tremlett,0.4,0.0,10,4
JW Hastings,1.76923076923,0.0,13,0
PA Hitchcock,1.0,0.0,1,0
WD Balaji Rao,0.4,0.0,5,4
CK Kapugedera,1.71666666667,0.116666666667,60,0
RR Watson,3.2,0.2,10,1
N Deonarine,2.09090909091,0.136363636364,22,2
CR Brathwaite,1.14285714286,0.0,7,0
MC Sorensen,2.0,0.0,7,2
ML Udawatte,2.85714285714,0.142857142857,7,2
NW Bracken,0.391304347826,0.0,23,4
DLS van Bunge,2.28571428571,0.142857142857,7,2
SR Patel,2.22727272727,0.0454545454545,22,2
M Kartik,1.66666666667,0.0,3,0
Rubel Hossain,0.37037037037,0.0,27,4
Ziaur Rahman,1.72727272727,0.0,11,0
CK Coventry,3.15789473684,0.157894736842,19,1
PC de Silva,1.5,0.0,6,0
D Mongia,2.5,0.166666666667,6,2
D Ganga,1.0,0.0,2,0
TT Samaraweera,2.22222222222,0.0740740740741,27,2
AM Guruge,0.5,0.0,2,4
MJ Santner,3.0,0.0,11,1
Mohammad Shahzad (2),3.66666666667,0.333333333333,3,1
CR Ervine,3.39473684211,0.236842105263,38,1
XM Marshall,1.5,0.0,8,0
IR Bell,3.60714285714,0.257142857143,140,1
RV Uthappa,3.02702702703,0.135135135135,37,1
Javed Ahmadi,2.93333333333,0.2,15,1
Tabarak Dar,2.5,0.0,2,2
KW Richardson,1.0,0.0,4,0
RL Bhudia,2.0,0.0,1,2
Umar Gul,0.766666666667,0.0,60,4
HDRL Thirimanne,2.67857142857,0.238095238095,84,2
MBS Jonkman,0.666666666667,0.0,3,4
D Elgar,1.0,0.0,5,0
Abdur Rehman,0.5,0.0,22,4
H Masakadza,3.37391304348,0.208695652174,115,1
KO Meth,0.8,0.0,5,4
MS Wade,1.90384615385,0.134615384615,52,2
AM Samad,2.44444444444,0.0,9,2
LOB Cann,3.3,0.1,10,1
B Lee,1.09090909091,0.0227272727273,44,0
JR Hazlewood,0.5,0.0,2,4
DF Watts,2.44444444444,0.333333333333,9,2
R Mutumbami,2.375,0.0833333333333,24,2
PP Ojha,0.333333333333,0.0,9,4
TWM Latham,2.76470588235,0.147058823529,34,2
Saqlain Haider,1.0,0.0,1,0
Nawroz Mangal,1.78260869565,0.0869565217391,23,0
JH Kallis,3.71111111111,0.366666666667,90,1
Babar Hayat,3.0,0.0,2,1
MM Patel,0.363636363636,0.0,22,4
DE Bollinger,0.714285714286,0.0,7,4
LRPL Taylor,3.74285714286,0.307142857143,140,1
CH Gayle,4.62393162393,0.213675213675,117,3
DR Lockhart,2.0,0.0,1,2
Zeeshan Siddiqi,1.0,0.0,1,0
NM Hauritz,1.04,0.04,25,0
D Daesrath,4.0,0.0,1,1
Haseeb Amjad,3.0,0.0,1,1
Shafiqullah,1.375,0.125,8,0
MDKJ Perera,3.35416666667,0.1875,48,1
Khurram Chohan,0.777777777778,0.0,9,4
AF Buurman,2.0,0.0,2,2
SJ Benn,0.761904761905,0.0,21,4
IJL Trott,3.39682539683,0.412698412698,63,1
BAW Mendis,0.461538461538,0.0,39,4
PD McGlashan,3.5,0.5,2,1
IK Pathan,1.875,0.025,40,2
CJ Anderson,3.74285714286,0.142857142857,35,1
Khaled Mashud,0.5,0.0,4,4
Hammad Azam,1.4,0.0,5,0
DPMD Jayawardene,3.37313432836,0.26368159204,201,1
AS Hansra,1.85714285714,0.142857142857,14,2
Najeeb Amar,2.5,0.0,2,2
PG Fulton,2.81818181818,0.181818181818,33,2
ST Finn,0.56,0.0,25,4
JAR Blain,1.0,0.0,7,0
JH Davey,1.66666666667,0.0666666666667,15,0
SL Malinga,0.609756097561,0.0121951219512,82,4
PC Connell,1.0,0.0,1,0
LM Jongwe,1.27777777778,0.0,18,0
RR Emrit,0.5,0.0,2,4
KOA Powell,3.59259259259,0.222222222222,27,1
Abdur Razzak,0.853333333333,0.0133333333333,75,4
Mahmudullah,2.26732673267,0.158415841584,101,2
DJG Sammy,2.23762376238,0.0891089108911,101,2
JR Hopes,2.09259259259,0.0555555555556,54,2
T Maruma,0.642857142857,0.0,14,4
HF Gurney,0.166666666667,0.0,6,4
E Chigumbura,2.23846153846,0.1,130,2
KP Pietersen,3.70833333333,0.239583333333,96,1
DO Obuya,1.0625,0.0625,16,0
Yasir Arafat,2.66666666667,0.0,3,2
Rashid Khan,1.4,0.0,5,0
DL Vettori,1.43835616438,0.027397260274,73,0
Shahzaib Hasan,5.0,0.333333333333,3,3
Samiullah Shenwari,3.16666666667,0.233333333333,30,1
GW Flower,1.0,0.0,2,0
Shapoor Zadran,0.153846153846,0.0,13,4
Syed Rasel,0.222222222222,0.0,18,4
