Team,Total Matches Played,Runs Scored,Wickets Lost,Got All Out,Runs Conceded,Opponent Wickets Taken,Opponent All Out 
England,198,238.297979798,7.21717171717,0.292929292929,230.772727273,7.55050505051,0.378787878788
Pakistan,191,223.392670157,7.32984293194,0.371727748691,237.120418848,7.6335078534,0.340314136126
Sri Lanka,223,220.860986547,7.14349775785,0.349775784753,225.901345291,7.35874439462,0.367713004484
West Indies,157,215.923566879,7.1847133758,0.312101910828,223.203821656,7.54777070064,0.388535031847
India,228,241.127192982,7.18421052632,0.337719298246,243.640350877,7.04385964912,0.289473684211
Australia,208,240.177884615,7.65384615385,0.355769230769,230.625,7.28365384615,0.350961538462
Scotland,28,188.142857143,6.67857142857,0.214285714286,211.464285714,7.85714285714,0.321428571429
Bermuda,11,203.909090909,7.18181818182,0.272727272727,160.272727273,7.63636363636,0.363636363636
Ireland,50,219.06,7.6,0.28,199.08,7.48,0.42
Zimbabwe,129,210.713178295,7.60465116279,0.395348837209,225.992248062,6.92248062016,0.317829457364
Netherlands,17,219.529411765,5.23529411765,0.176470588235,189.470588235,8.64705882353,0.588235294118
South Africa,170,236.882352941,7.39411764706,0.364705882353,235.9,7.37647058824,0.335294117647
New Zealand,164,231.774390244,7.39634146341,0.378048780488,226.743902439,7.17073170732,0.329268292683
Canada,21,219.80952381,7.71428571429,0.285714285714,204.047619048,7.61904761905,0.380952380952
Kenya,25,209.92,7.84,0.48,184.72,7.16,0.36
Bangladesh,143,217.426573427,7.58741258741,0.377622377622,212.13986014,7.18181818182,0.335664335664
Africa XI,3,328.333333333,8.0,0.0,302.333333333,9.0,0.666666666667
Asia XI,4,226.75,6.75,0.5,246.25,6.0,0.0
United Arab Emirates,12,191.583333333,6.91666666667,0.25,226.916666667,6.75,0.25
Hong Kong,5,174.6,6.8,0.6,172.4,6.4,0.2
Afghanistan,29,209.724137931,7.75862068966,0.48275862069,198.586206897,7.72413793103,0.448275862069
