Batsman,Total Runs Scored,Home Runs,Non Home Runs,Balls Faced,R0,W0,R1,W1,Current_HR,Current_NHR,Target,Team,Home
ME Trescothick,0,0,0,0,0,0,0,0,0,2,0,England,1
AJ Strauss,0,0,0,0,0,0,0,0,0,0,0,England,1
IR Bell,0,0,0,0,0,0,0,0,4,3,0,England,1
Shoaib Malik,0,0,0,0,0,0,0,0,0,9,158,Pakistan,0
Mohammad Hafeez,0,0,0,0,0,0,0,0,0,1,158,Pakistan,0
Younis Khan,0,0,0,0,0,0,0,0,4,2,158,Pakistan,0
ME Trescothick,0,0,0,0,0,0,0,0,0,0,0,England,1
IR Bell,0,0,0,0,0,0,0,0,4,6,0,England,1
AJ Strauss,0,0,0,0,0,0,0,0,8,9,0,England,1
Shoaib Malik,0,0,0,0,0,0,0,0,0,1,252,Pakistan,0
Mohammad Hafeez,0,0,0,0,0,0,0,0,14,6,252,Pakistan,0
Younis Khan,0,0,0,0,0,0,0,0,0,2,252,Pakistan,0
Mohammad Hafeez,0,0,0,0,0,0,0,0,8,0,0,Pakistan,0
Shahid Afridi,0,0,0,0,0,0,0,0,10,1,0,Pakistan,0
Younis Khan,0,0,0,0,0,0,0,0,0,0,0,Pakistan,0
Mohammad Yousuf,0,0,0,0,0,0,0,0,0,2,0,Pakistan,0
AJ Strauss,0,0,0,0,0,0,0,0,8,1,219,England,1
EC Joyce,0,0,0,0,0,0,0,0,8,1,219,England,1
Mohammad Hafeez,0,0,0,0,0,0,0,0,0,1,0,Pakistan,0
Imran Farhat,0,0,0,0,0,0,0,0,0,4,0,Pakistan,0
AJ Strauss,0,0,0,0,0,0,0,0,16,2,140,England,1
EC Joyce,0,0,0,0,0,0,0,0,8,0,140,England,1
IR Bell,0,0,0,0,0,0,0,0,0,1,140,England,1
WU Tharanga,0,0,0,0,0,0,0,0,0,2,0,Sri Lanka,0
ST Jayasuriya,0,0,0,0,0,0,0,0,8,3,0,Sri Lanka,0
ME Trescothick,0,0,0,0,0,0,0,0,4,6,226,England,1
AJ Strauss,0,0,0,0,0,0,0,0,0,5,226,England,1
WU Tharanga,0,0,0,0,0,0,0,0,8,4,0,Sri Lanka,0
ST Jayasuriya,0,0,0,0,0,0,0,0,4,2,0,Sri Lanka,0
ME Trescothick,0,0,0,0,0,0,0,0,8,1,262,England,1
IR Bell,0,0,0,0,0,0,0,0,4,2,262,England,1
AJ Strauss,0,0,0,0,0,0,0,0,4,3,262,England,1
ME Trescothick,0,0,0,0,0,0,0,0,4,2,0,England,1
AJ Strauss,0,0,0,0,0,0,0,0,8,3,0,England,1
WU Tharanga,0,0,0,0,0,0,0,0,8,6,249,Sri Lanka,0
ST Jayasuriya,0,0,0,0,0,0,0,0,22,1,249,Sri Lanka,0
WU Tharanga,0,0,0,0,0,0,0,0,0,3,0,Sri Lanka,0
ST Jayasuriya,0,0,0,0,0,0,0,0,12,2,0,Sri Lanka,0
DPMD Jayawardene,0,0,0,0,0,0,0,0,0,2,0,Sri Lanka,0
ME Trescothick,0,0,0,0,0,0,0,0,8,3,276,England,1
AN Cook,0,0,0,0,0,0,0,0,8,4,276,England,1
V Sehwag,0,0,0,0,0,0,0,0,4,7,0,India,0
R Dravid,0,0,0,0,0,0,0,0,0,0,0,India,0
SK Raina,0,0,0,0,0,0,0,0,8,2,0,India,0
CH Gayle,0,0,0,0,0,0,0,0,8,1,232,West Indies,1
MN Samuels,0,0,0,0,0,0,0,0,0,4,232,West Indies,1
V Sehwag,0,0,0,0,0,0,0,0,8,3,0,India,0
R Dravid,0,0,0,0,0,0,0,0,0,2,0,India,0
SK Raina,0,0,0,0,0,0,0,0,0,1,0,India,0
CH Gayle,0,0,0,0,0,0,0,0,14,2,205,West Indies,1
MN Samuels,0,0,0,0,0,0,0,0,8,1,205,West Indies,1
RR Sarwan,0,0,0,0,0,0,0,0,0,0,205,West Indies,1
CH Gayle,0,0,0,0,0,0,0,0,24,0,0,West Indies,1
S Chattergoon,0,0,0,0,0,0,0,0,0,0,0,West Indies,1
RR Sarwan,0,0,0,0,0,0,0,0,0,0,0,West Indies,1
RV Uthappa,0,0,0,0,0,0,0,0,0,0,217,India,0
MS Dhoni,0,0,0,0,0,0,0,0,8,5,217,India,0
V Sehwag,0,0,0,0,0,0,0,0,4,4,217,India,0
CH Gayle,0,0,0,0,0,0,0,0,0,2,0,West Indies,1
S Chanderpaul,0,0,0,0,0,0,0,0,4,4,0,West Indies,1
RR Sarwan,0,0,0,0,0,0,0,0,8,1,0,West Indies,1
Imran Nazir,0,0,0,0,0,0,0,0,6,0,184,Pakistan,0
Younis Khan,0,0,0,0,0,0,0,0,8,1,184,Pakistan,0
Mohammad Hafeez,0,0,0,0,0,0,0,0,4,1,184,Pakistan,0
WTS Porterfield,0,0,0,0,0,0,0,0,0,0,0,Ireland,0
JP Bray,0,0,0,0,0,0,0,0,10,3,0,Ireland,0
EJG Morgan,0,0,0,0,0,0,0,0,0,2,0,Ireland,0
T Duffin,0,0,0,0,0,0,0,0,8,4,212,Zimbabwe,0
V Sibanda,0,0,0,0,0,0,0,0,4,7,212,Zimbabwe,0
EC Joyce,0,0,0,0,0,0,0,0,0,0,0,England,0
IR Bell,0,0,0,0,0,0,0,0,0,4,0,England,0
MP Vaughan,0,0,0,0,0,0,0,0,0,3,0,England,0
L Vincent,0,0,0,0,0,0,0,0,0,0,185,New Zealand,0
SP Fleming,0,0,0,0,0,0,0,0,4,3,185,New Zealand,0
LRPL Taylor,0,0,0,0,0,0,0,0,0,0,185,New Zealand,0
SB Styris,0,0,0,0,0,0,0,0,8,1,185,New Zealand,0
Imran Nazir,0,0,0,0,0,0,0,0,4,7,0,Pakistan,0
Mohammad Hafeez,0,0,0,0,0,0,0,0,4,0,0,Pakistan,0
Younis Khan,0,0,0,0,0,0,0,0,0,0,0,Pakistan,0
Mohammad Yousuf,0,0,0,0,0,0,0,0,4,0,0,Pakistan,0
JP Bray,0,0,0,0,0,0,0,0,0,3,120,Ireland,0
WTS Porterfield,0,0,0,0,0,0,0,0,4,5,120,Ireland,0
EJG Morgan,0,0,0,0,0,0,0,0,0,2,120,Ireland,0
V Sibanda,0,0,0,0,0,0,0,0,0,1,0,Zimbabwe,0
F Kasteni,0,0,0,0,0,0,0,0,0,0,0,Zimbabwe,0
CJ Chibhabha,0,0,0,0,0,0,0,0,0,2,0,Zimbabwe,0
BRM Taylor,0,0,0,0,0,0,0,0,0,2,0,Zimbabwe,0
CH Gayle,0,0,0,0,0,0,0,0,0,2,183,West Indies,1
S Chanderpaul,0,0,0,0,0,0,0,0,4,6,183,West Indies,1
WU Tharanga,0,0,0,0,0,0,0,0,0,6,0,Sri Lanka,0
ST Jayasuriya,0,0,0,0,0,0,0,0,10,3,0,Sri Lanka,0
Tamim Iqbal,0,0,0,0,0,0,0,0,4,2,106,Bangladesh,0
Shahriar Nafees,0,0,0,0,0,0,0,0,0,0,106,Bangladesh,0
Mushfiqur Rahim,0,0,0,0,0,0,0,0,0,1,106,Bangladesh,0
Aftab Ahmed,0,0,0,0,0,0,0,0,0,0,106,Bangladesh,0
Kamran Akmal,0,0,0,0,0,0,0,0,4,7,0,Pakistan,0
Imran Nazir,0,0,0,0,0,0,0,0,8,4,0,Pakistan,0
V Sibanda,0,0,0,0,0,0,0,0,0,0,96,Zimbabwe,0
F Kasteni,0,0,0,0,0,0,0,0,0,8,96,Zimbabwe,0
